,subject,epochtype,prev_keystrokes,amp
0,07,first,3.0,-3.377281135246651e-07
0,07,first,11.0,-1.0180177165845331e-05
0,07,first,8.0,-8.707683870549468e-06
0,07,first,0.0,-8.89384202511994e-06
0,07,first,7.0,-1.4981881273949208e-05
0,07,first,19.0,3.7755363374950925e-06
0,07,first,16.0,3.98889324060292e-06
0,07,first,0.0,-4.462648778119021e-06
0,07,first,10.0,4.029696558265843e-06
0,07,first,18.0,1.4418276704317475e-05
0,07,first,15.0,-2.6192375596818037e-06
0,07,first,16.0,-4.094302362823833e-07
0,07,first,4.0,-1.36004714966652e-06
0,07,first,11.0,-1.3208459272896613e-05
0,07,first,19.0,-1.3343561136025528e-06
0,07,first,10.0,-3.029917087992039e-06
0,07,first,3.0,-4.6563568313710375e-06
0,07,first,3.0,-1.1506795090099331e-05
0,07,first,15.0,-1.6136592522444618e-05
0,07,first,15.0,-2.511903965619745e-06
0,07,first,4.0,-4.198585555867693e-06
0,07,first,4.0,2.521975754158727e-07
0,07,first,6.0,-6.786111801678392e-06
0,07,first,16.0,-3.7038223328838485e-06
0,07,first,22.0,-7.759367791651231e-06
0,07,first,10.0,-7.233007737441868e-06
0,07,first,1.0,-4.778522275551546e-06
0,07,first,11.0,-1.2421579817277638e-05
0,07,first,10.0,-3.5518613180506186e-06
0,07,first,3.0,-8.880337531991245e-07
0,07,first,0.0,2.9021710344541893e-06
0,07,first,0.0,8.833580523059936e-06
0,07,first,0.0,-1.185334958285643e-06
0,07,first,0.0,-8.349860496852873e-07
0,08,first,0.0,-4.9936898752397e-06
0,08,first,8.0,-2.1843848218041887e-05
0,08,first,3.0,-1.747856458678143e-05
0,08,first,3.0,-1.86459769287871e-05
0,08,first,3.0,-2.2736179340022823e-05
0,08,first,11.0,-6.263801727376024e-06
0,08,first,1.0,2.365620098822142e-06
0,08,first,9.0,4.55562514566231e-06
0,08,first,3.0,-1.1248244845774025e-05
0,08,first,3.0,-1.2300642538320972e-05
0,08,first,4.0,1.4040343406425867e-07
0,08,first,13.0,-1.1784951008545855e-05
0,08,first,11.0,-5.056626782283678e-06
0,08,first,3.0,-6.2862683181366365e-06
0,08,first,4.0,-1.229102973512555e-05
0,08,first,12.0,1.0978650859922507e-05
0,08,first,13.0,-4.7234024375736935e-06
0,08,first,10.0,-1.9261279400476877e-05
0,08,first,3.0,-2.076940533394615e-05
0,08,first,5.0,-7.115525830967171e-06
0,08,first,14.0,-2.220743489387031e-05
0,08,first,7.0,-3.580341500411224e-05
0,08,first,3.0,-1.4823214365201744e-05
0,08,first,2.0,-2.2395204521469874e-05
0,08,first,11.0,-7.003348173384438e-06
0,08,first,14.0,-1.1107706490697132e-05
0,08,first,2.0,-1.0747850258970478e-05
0,08,first,2.0,-1.8627902641633733e-05
0,08,first,3.0,-2.84976125107682e-06
0,08,first,9.0,-1.237478894230056e-05
0,08,first,11.0,-2.2850141855694044e-05
0,08,first,7.0,-1.4796620436957002e-05
0,08,first,2.0,-8.601629007090298e-06
0,08,first,3.0,-9.387320359463854e-06
0,08,first,3.0,-1.2634995073312894e-05
0,08,first,2.0,-2.702185197575899e-06
0,08,first,0.0,6.4136616452338385e-06
0,09,first,0.0,-1.4808431539374093e-05
0,09,first,11.0,-1.3106259050093488e-05
0,09,first,4.0,-6.065438709710078e-06
0,09,first,5.0,-2.1026197979760277e-06
0,09,first,6.0,-2.3336187344587717e-05
0,09,first,12.0,-1.308326271024877e-06
0,09,first,3.0,1.206267936342758e-05
0,09,first,12.0,-1.3573211213547944e-05
0,09,first,5.0,-1.1710319894417706e-05
0,09,first,2.0,-1.604737250697023e-05
0,09,first,6.0,-1.0655520377945828e-05
0,09,first,16.0,-1.6186307523942862e-05
0,09,first,14.0,-2.313517203826147e-05
0,09,first,3.0,-1.8740109428310665e-05
0,09,first,5.0,-1.1083178258609728e-06
0,09,first,17.0,-1.151067933986067e-05
0,09,first,19.0,-9.496871219501676e-06
0,09,first,20.0,-1.3940113806004067e-05
0,09,first,2.0,-7.554312307749771e-06
0,09,first,13.0,-4.724837759163671e-06
0,09,first,18.0,-1.602247145153039e-05
0,09,first,11.0,-1.2260357430528125e-06
0,09,first,4.0,-1.7764267189098366e-05
0,09,first,5.0,-2.456631894650248e-05
0,09,first,19.0,-2.3496584213312923e-05
0,09,first,19.0,-6.176766217120328e-06
0,09,first,6.0,-8.369846000277903e-06
0,09,first,1.0,-1.2740591753552306e-05
0,09,first,6.0,-3.135639758511388e-06
0,09,first,19.0,-5.327929708679828e-06
0,09,first,16.0,-1.0401133901420204e-05
0,09,first,11.0,-1.2461337064451072e-05
0,09,first,5.0,3.556029709115036e-06
0,09,first,8.0,-5.288743598915365e-06
0,09,first,11.0,-1.9703824566224488e-05
0,09,first,5.0,-1.0017636517053083e-05
0,09,first,0.0,-1.238047742744028e-05
0,09,first,0.0,-3.764706747865098e-05
0,09,first,0.0,-7.559963478342979e-06
0,09,first,0.0,-1.0307262628985984e-05
0,09,first,0.0,-5.031229168000411e-06
0,10,first,0.0,-1.4812756489845924e-05
0,10,first,7.0,-1.2692154794219985e-05
0,10,first,2.0,4.642781302916572e-06
0,10,first,3.0,-1.550869243753065e-05
0,10,first,4.0,-1.1812097512454834e-06
0,10,first,7.0,-1.2647773170707902e-05
0,10,first,3.0,7.0837673370584125e-06
0,10,first,7.0,-1.3580378334962814e-05
0,10,first,4.0,-1.0255128422108504e-05
0,10,first,2.0,-1.5343042428462973e-05
0,10,first,5.0,-8.38089600721206e-06
0,10,first,13.0,-1.4009264608224234e-05
0,10,first,11.0,-6.532260108037412e-06
0,10,first,0.0,-2.752227904541845e-06
0,10,first,6.0,2.5404999522354247e-06
0,10,first,11.0,-7.798601826733728e-06
0,10,first,13.0,-1.5391065971925855e-05
0,10,first,15.0,1.44139165551375e-06
0,10,first,1.0,-6.3919827274124446e-06
0,10,first,11.0,-3.3718350493927574e-06
0,10,first,13.0,-6.387327731418837e-06
0,10,first,8.0,-1.5826700578240132e-06
0,10,first,3.0,-1.0871924536736009e-05
0,10,first,3.0,-3.648444200937067e-05
0,10,first,12.0,3.0382669756868886e-06
0,10,first,13.0,2.0776363890541284e-06
0,10,first,4.0,9.057638787150305e-07
0,10,first,0.0,-3.4923672542517024e-06
0,10,first,6.0,1.7765922911571074e-06
0,10,first,12.0,1.995614152545184e-06
0,10,first,13.0,-5.284633409195925e-06
0,10,first,7.0,-7.254422295469946e-06
0,10,first,3.0,-5.039428477478698e-06
0,10,first,4.0,-7.054629097385461e-06
0,10,first,6.0,9.23278270824489e-06
0,10,first,4.0,4.0788362269950085e-06
0,10,first,0.0,-8.815801872212129e-06
0,10,first,0.0,-5.5218293179374695e-06
0,10,first,0.0,-1.3237273075598447e-05
0,11,first,0.0,-1.4694165050362548e-05
0,11,first,7.0,-8.253072893340788e-06
0,11,first,4.0,-3.138290994976324e-07
0,11,first,3.0,2.6479249805157047e-06
0,11,first,6.0,-7.592019869662181e-06
0,11,first,10.0,-1.0310672710684482e-06
0,11,first,3.0,-1.626636569401146e-05
0,11,first,10.0,-1.9532526392948865e-05
0,11,first,5.0,4.512413056545483e-06
0,11,first,3.0,8.6458675367693e-06
0,11,first,6.0,3.450047681023231e-06
0,11,first,17.0,-1.6849219137940154e-06
0,11,first,16.0,-7.89155612639863e-06
0,11,first,3.0,1.1130542689999049e-05
0,11,first,8.0,9.287241229887715e-06
0,11,first,17.0,-4.460186978071255e-06
0,11,first,20.0,2.0352239131524484e-06
0,11,first,22.0,-1.3709270812493438e-05
0,11,first,4.0,1.943355793324978e-06
0,11,first,8.0,9.527737246470577e-06
0,11,first,18.0,-5.447187523562509e-06
0,11,first,11.0,-1.6602478859163562e-05
0,11,first,4.0,-1.5734011665497543e-05
0,11,first,4.0,8.294026126047052e-06
0,11,first,22.0,-7.065553189830906e-06
0,11,first,19.0,6.410660110608053e-06
0,11,first,6.0,-2.3365241456000756e-05
0,11,first,3.0,4.283555583918365e-06
0,11,first,9.0,5.549560506147423e-06
0,11,first,15.0,-5.1335791566329035e-06
0,11,first,21.0,-3.264955557271934e-07
0,11,first,10.0,-7.065116783956506e-06
0,11,first,3.0,-3.960351477871882e-06
0,11,first,12.0,2.1568328982566086e-06
0,11,first,12.0,-1.4012953752424235e-06
0,11,first,7.0,-3.155866390140242e-06
0,11,first,0.0,-1.3509066371221303e-05
0,11,first,0.0,-1.0554629827513256e-05
0,11,first,0.0,5.557213474579233e-06
0,11,first,0.0,-6.2599595922721264e-06
0,11,first,0.0,-2.532653518806506e-06
0,11,first,0.0,8.273886578535894e-06
0,12,first,0.0,-9.017443264585583e-06
0,12,first,10.0,-6.963203658314241e-06
0,12,first,2.0,-6.994582539239976e-06
0,12,first,4.0,-1.0541893718456979e-05
0,12,first,4.0,-5.294791435517254e-06
0,12,first,7.0,9.81516197700532e-06
0,12,first,3.0,-7.742099978397871e-07
0,12,first,11.0,6.053494811592626e-08
0,12,first,4.0,-1.9711672090731252e-05
0,12,first,2.0,1.3178618303300027e-06
0,12,first,3.0,-1.1900912795681506e-05
0,12,first,14.0,-3.3252301313445464e-06
0,12,first,8.0,-8.365643995805133e-07
0,12,first,3.0,3.567958161612397e-06
0,12,first,3.0,-3.321635254059806e-06
0,12,first,14.0,-1.3128774197765677e-05
0,12,first,12.0,4.597109030631448e-06
0,12,first,15.0,9.578275037509027e-06
0,12,first,1.0,-3.777419471538855e-07
0,12,first,9.0,-1.166149872410137e-05
0,12,first,11.0,-1.9376814230377528e-05
0,12,first,10.0,-2.634956231478074e-06
0,12,first,3.0,-1.8417342087357407e-05
0,12,first,3.0,-7.559542205449867e-06
0,12,first,11.0,-7.15634557006221e-06
0,12,first,17.0,-2.480227279496224e-05
0,12,first,2.0,1.3951480784473663e-06
0,12,first,2.0,-6.082294337122423e-06
0,12,first,5.0,-3.1590814562794853e-06
0,12,first,11.0,-1.2406434002009013e-05
0,12,first,9.0,-9.818632103512451e-06
0,12,first,5.0,-7.575682628966105e-06
0,12,first,2.0,-8.311181419331762e-06
0,12,first,7.0,-1.4423528335151382e-06
0,12,first,3.0,-4.0548310348893006e-07
0,12,first,3.0,1.3664175841970266e-05
0,12,first,0.0,-7.299000218255161e-06
0,12,first,0.0,-1.0247755502253616e-05
0,13,first,0.0,-2.077095086860936e-05
0,13,first,12.0,3.3749159713794243e-06
0,13,first,4.0,2.360485632380005e-05
0,13,first,5.0,7.648905643185975e-06
0,13,first,6.0,-5.458679576501406e-06
0,13,first,12.0,-8.313507906778897e-06
0,13,first,5.0,-7.384688046840893e-06
0,13,first,13.0,-5.001815705125207e-06
0,13,first,4.0,-1.361107640857679e-05
0,13,first,3.0,1.2301541978053541e-05
0,13,first,6.0,-3.177284041792442e-06
0,13,first,16.0,-2.4006907147445923e-05
0,13,first,16.0,-2.9461647904503884e-06
0,13,first,3.0,-2.330150305675084e-05
0,13,first,8.0,-1.9870479769047557e-05
0,13,first,20.0,-2.8563818988105697e-05
0,13,first,19.0,1.1049350708465984e-06
0,13,first,24.0,-2.250912661515435e-05
0,13,first,5.0,-1.056632774836746e-05
0,13,first,14.0,-2.7694618741710048e-05
0,13,first,21.0,-1.5481669733061506e-05
0,13,first,11.0,-3.3111201800137576e-07
0,13,first,6.0,6.3872662899989845e-06
0,13,first,4.0,-6.852029501816206e-06
0,13,first,21.0,-1.1162043241104888e-05
0,13,first,15.0,-2.198750040507649e-06
0,13,first,6.0,-6.675058203755826e-06
0,13,first,2.0,-6.4177009638418285e-06
0,13,first,6.0,-7.279655594377093e-06
0,13,first,17.0,-2.8279045283044172e-05
0,13,first,14.0,4.0374276092257506e-06
0,13,first,8.0,1.0940687641575803e-05
0,13,first,3.0,-2.1213000056579607e-05
0,13,first,6.0,-4.358210819393409e-06
0,13,first,6.0,4.6380597369635425e-06
0,13,first,4.0,7.994204073232444e-06
0,13,first,0.0,-1.694275847007197e-05
0,13,first,0.0,6.357690103363388e-06
0,13,first,0.0,-3.179864266813739e-06
0,13,first,0.0,4.5856246641859696e-07
0,14,first,0.0,-8.335677951739248e-06
0,14,first,8.0,-9.223653250955977e-06
0,14,first,3.0,-4.206608034943808e-06
0,14,first,2.0,-3.7938929406461993e-06
0,14,first,4.0,-1.2968383190228553e-05
0,14,first,8.0,-1.970607368346262e-06
0,14,first,2.0,-4.899174276336756e-06
0,14,first,9.0,-8.137831906020034e-06
0,14,first,4.0,-4.361569381217123e-06
0,14,first,1.0,-5.564341147450907e-06
0,14,first,5.0,-1.0987063534331457e-05
0,14,first,15.0,-8.324503697723332e-06
0,14,first,11.0,1.0304420230669266e-06
0,14,first,2.0,9.966674901483606e-06
0,14,first,3.0,-9.525093471691232e-06
0,14,first,13.0,-9.488590472351967e-06
0,14,first,13.0,-1.1198763281249234e-05
0,14,first,16.0,-1.332226141433542e-05
0,14,first,2.0,-8.750082088226918e-06
0,14,first,10.0,4.993127283291364e-06
0,14,first,16.0,-3.3972907726504472e-06
0,14,first,9.0,-4.763715644963264e-06
0,14,first,3.0,-1.4160851403883296e-05
0,14,first,2.0,-1.8876979387035437e-05
0,14,first,15.0,-8.67325429175657e-06
0,14,first,16.0,-1.9181198594095702e-05
0,14,first,5.0,-1.4820122386380615e-05
0,14,first,1.0,-1.0622093517061634e-05
0,14,first,5.0,1.1983668122815692e-05
0,14,first,14.0,-1.908179835178695e-06
0,14,first,15.0,-1.3613726474027822e-05
0,14,first,8.0,5.400818256223121e-06
0,14,first,3.0,-1.087506679040315e-05
0,14,first,7.0,-1.4576644187198124e-05
0,14,first,7.0,3.7203453157669883e-06
0,14,first,5.0,-5.3786777951043205e-06
0,14,first,0.0,-1.2105978385079652e-05
0,14,first,0.0,-3.2156231092194e-06
0,15,first,0.0,-1.0062897167194427e-05
0,15,first,13.0,-4.334122094304702e-06
0,15,first,4.0,-8.966184547413528e-06
0,15,first,6.0,-9.286097186607853e-06
0,15,first,7.0,4.5320184148699305e-08
0,15,first,15.0,-1.0773511955145901e-05
0,15,first,2.0,-1.9951867216150276e-05
0,15,first,15.0,-1.3141601711039482e-05
0,15,first,6.0,-1.1656396964099258e-05
0,15,first,3.0,-2.0610334912715996e-05
0,15,first,7.0,-6.839805084584643e-06
0,15,first,22.0,-1.5142617889473007e-05
0,15,first,18.0,4.875158563461608e-06
0,15,first,3.0,3.8401200639112985e-06
0,15,first,8.0,-6.997504987301303e-07
0,15,first,16.0,-1.5997833947444128e-06
0,15,first,21.0,-5.725723263417927e-06
0,15,first,21.0,1.6317786746513875e-06
0,15,first,4.0,-1.9216759975885603e-07
0,15,first,13.0,-4.669301536826727e-06
0,15,first,21.0,-4.8488927101667896e-06
0,15,first,12.0,-2.5926294032135247e-06
0,15,first,3.0,3.3720958406825553e-06
0,15,first,6.0,2.9198114298702017e-06
0,15,first,21.0,3.56655272702887e-06
0,15,first,23.0,-1.3690487195263913e-06
0,15,first,6.0,3.032482788335579e-07
0,15,first,2.0,-1.8448021642648705e-06
0,15,first,7.0,-5.3026788009447046e-06
0,15,first,19.0,-7.645559081639578e-06
0,15,first,20.0,-4.5005225943997275e-06
0,15,first,11.0,-5.755955119942276e-06
0,15,first,5.0,-8.02996105954258e-06
0,15,first,12.0,-1.4498246350235098e-05
0,15,first,12.0,-1.181976169088254e-06
0,15,first,8.0,1.1524856947491773e-05
0,15,first,0.0,-9.958079241793408e-06
0,15,first,0.0,-4.913494927273456e-06
0,15,first,0.0,7.820979438596018e-06
0,16,first,0.0,2.703466167177895e-06
0,16,first,8.0,-1.4143498447083402e-05
0,16,first,3.0,7.359443164508169e-06
0,16,first,3.0,-1.1237611134775863e-05
0,16,first,4.0,2.440066547630219e-06
0,16,first,13.0,-1.3981385361855953e-05
0,16,first,2.0,-9.601405458346966e-06
0,16,first,7.0,-3.736265878412976e-07
0,16,first,5.0,-7.027462894863372e-06
0,16,first,2.0,3.679288214344625e-07
0,16,first,4.0,-1.9501117195533072e-05
0,16,first,13.0,-2.147554833855894e-05
0,16,first,10.0,5.250697439704608e-06
0,16,first,2.0,-8.47327035242213e-06
0,16,first,4.0,4.1347947702756e-07
0,16,first,12.0,-8.48543994733417e-06
0,16,first,11.0,-9.849076579687082e-06
0,16,first,18.0,4.2251452770061505e-06
0,16,first,1.0,-8.400306796829682e-06
0,16,first,9.0,-8.184569095545966e-07
0,16,first,10.0,2.0775530250224015e-06
0,16,first,4.0,-7.781699726668497e-06
0,16,first,2.0,-5.882358373633502e-06
0,16,first,3.0,-1.5103993771643016e-05
0,16,first,10.0,-7.751572360979884e-06
0,16,first,13.0,-4.852248136128562e-07
0,16,first,4.0,-5.337745859732321e-06
0,16,first,1.0,7.757348107083493e-08
0,16,first,6.0,-7.577332123926479e-06
0,16,first,11.0,-9.187504878759177e-06
0,16,first,16.0,-3.1159950329614126e-06
0,16,first,7.0,-3.2549335827130535e-06
0,16,first,1.0,3.132479731801949e-06
0,16,first,10.0,-1.4446061666401672e-05
0,16,first,6.0,-2.864763038543414e-06
0,16,first,4.0,3.6432796516944818e-06
0,16,first,0.0,-7.588077349080575e-06
0,16,first,0.0,-1.8233457852703496e-06
0,17,first,0.0,1.4839842151559424e-05
0,17,first,10.0,-6.238753359058238e-06
0,17,first,5.0,1.1173602400857717e-06
0,17,first,4.0,-3.36821219409305e-06
0,17,first,7.0,-1.7137251294090877e-06
0,17,first,13.0,-2.959337826445739e-06
0,17,first,3.0,-4.9431513010252575e-06
0,17,first,14.0,-1.564203244520791e-05
0,17,first,6.0,-5.456223473427397e-06
0,17,first,3.0,-8.354531726379517e-06
0,17,first,6.0,4.1734266460480285e-06
0,17,first,17.0,-8.808417078398634e-06
0,17,first,15.0,-6.723658884766337e-06
0,17,first,2.0,-1.250363382294179e-05
0,17,first,5.0,-8.640497753731324e-06
0,17,first,16.0,-5.501479336089687e-06
0,17,first,18.0,-1.0042793089976638e-05
0,17,first,15.0,-3.0893971067295447e-06
0,17,first,3.0,5.420457651123595e-07
0,17,first,11.0,-8.69771055375976e-06
0,17,first,19.0,1.0592292318318325e-06
0,17,first,10.0,1.2704781208109731e-05
0,17,first,5.0,-9.685256170794471e-06
0,17,first,3.0,2.82275104584389e-06
0,17,first,21.0,2.8238560724326412e-06
0,17,first,18.0,-8.784359806668363e-06
0,17,first,5.0,1.4160278624331113e-05
0,17,first,2.0,1.657873735578303e-07
0,17,first,7.0,-4.8585265738489e-06
0,17,first,17.0,7.97140839697224e-06
0,17,first,15.0,-1.1619357236567237e-05
0,17,first,12.0,1.3182273058810602e-06
0,17,first,5.0,-1.1875054926551659e-06
0,17,first,11.0,-1.9299609549408262e-05
0,17,first,9.0,-6.944113667688927e-06
0,17,first,7.0,-3.788260048370123e-07
0,17,first,0.0,5.280563944628133e-07
0,17,first,0.0,-1.3377349104201938e-05
0,17,first,0.0,-9.125443587739332e-06
0,17,first,0.0,2.625959884502057e-06
0,18,first,0.0,-1.3750560659294328e-05
0,18,first,8.0,9.667518219834568e-06
0,18,first,2.0,7.690293159612338e-06
0,18,first,3.0,6.577585297564939e-06
0,18,first,5.0,-1.5447505979358943e-05
0,18,first,9.0,9.654217491414682e-06
0,18,first,1.0,1.7336279395547332e-05
0,18,first,9.0,-1.4237754584200957e-06
0,18,first,4.0,1.9530435804900512e-06
0,18,first,2.0,-5.578471751101057e-06
0,18,first,4.0,-1.1009183980250882e-06
0,18,first,13.0,-4.837256426526437e-07
0,18,first,10.0,-7.586929263602036e-06
0,18,first,2.0,-8.838043059869153e-06
0,18,first,4.0,2.701192047519877e-06
0,18,first,13.0,-1.6544056961720344e-05
0,18,first,14.0,1.852574011233325e-05
0,18,first,14.0,-9.748202551741593e-06
0,18,first,2.0,5.538308641916956e-06
0,18,first,9.0,-6.196450663588217e-06
0,18,first,14.0,1.0899615214536121e-05
0,18,first,7.0,-3.962755613429181e-06
0,18,first,2.0,1.130659984482918e-05
0,18,first,4.0,-3.2395531409040104e-06
0,18,first,14.0,-1.60277439944265e-05
0,18,first,13.0,1.9820758300031433e-05
0,18,first,4.0,-1.915744148088076e-05
0,18,first,2.0,-2.7159020040320076e-07
0,18,first,4.0,-2.1037521946709603e-05
0,18,first,12.0,5.033586048518322e-06
0,18,first,13.0,-8.684251093250674e-06
0,18,first,11.0,-6.909586772962939e-06
0,18,first,7.0,-1.8983827329874555e-05
0,18,first,8.0,-1.0064026203811713e-05
0,18,first,4.0,6.340358342842794e-06
0,18,first,0.0,-3.359950000003664e-06
0,18,first,0.0,-1.693556155954765e-06
0,18,first,0.0,3.498515904235925e-06
0,19,first,0.0,-1.8529875439475695e-06
0,19,first,11.0,2.7600106780785913e-06
0,19,first,5.0,-8.547920414356566e-06
0,19,first,4.0,-8.130317458684052e-06
0,19,first,4.0,-3.426992389224084e-06
0,19,first,12.0,3.7035576324247663e-06
0,19,first,5.0,-3.4914038640939302e-06
0,19,first,10.0,-1.386822107936799e-05
0,19,first,6.0,-5.101022667177959e-06
0,19,first,1.0,-7.08774359736708e-06
0,19,first,6.0,-8.456361077454252e-06
0,19,first,17.0,-6.2055117066645634e-06
0,19,first,13.0,-1.1561421868261985e-05
0,19,first,1.0,7.600569208281942e-06
0,19,first,6.0,-9.144984586681756e-06
0,19,first,16.0,-3.860700385555699e-07
0,19,first,17.0,-5.85696092119608e-07
0,19,first,19.0,-7.492895848473482e-06
0,19,first,3.0,-4.946918087019488e-06
0,19,first,11.0,-3.439388415750323e-06
0,19,first,19.0,-2.0459881650620245e-06
