,keystroke_idx,time,type,prev_keystrokes
0,0,221,other,
1,1,396,other,
2,2,738,other,
3,3,994,other,
4,4,1272,other,
5,5,1443,other,
6,6,1789,other,
7,7,2044,first,0
8,8,2310,other,
9,9,2484,other,
10,10,2799,other,
11,11,2971,first,3
12,12,3317,other,
13,13,3494,other,
14,14,3827,other,
15,15,4004,first,3
16,16,4350,other,
17,17,4527,other,
18,18,4859,other,
19,19,5036,other,
20,20,5385,first,4
21,21,5562,other,
22,22,5926,other,
23,23,6102,other,
24,24,6450,other,
25,25,6623,other,
26,26,6937,other,
27,27,7112,other,
28,28,7466,other,
29,29,7638,other,
30,30,7965,first,9
31,31,8144,other,
32,32,8465,other,
33,33,8633,other,
34,34,8950,first,3
35,35,9462,other,
36,36,9638,other,
37,37,9951,other,
38,38,10131,other,
39,39,10430,other,
40,40,10596,other,
41,41,10958,other,
42,42,11131,other,
43,43,11499,first,8
44,44,11676,other,
45,45,11983,other,
46,46,12154,other,
47,47,12504,other,
48,48,12683,first,4
49,49,13035,other,
50,50,13204,first,1
51,51,13625,other,
52,52,13799,other,
53,53,14038,other,
54,54,14202,other,
55,55,14616,first,4
56,56,14786,other,
57,57,15110,other,
58,58,15290,other,
59,59,15525,other,
60,60,15701,other,
61,61,16016,other,
62,62,16183,other,
63,63,16501,other,
64,64,16660,other,
65,65,16973,other,
66,66,17135,other,
67,67,17437,other,
68,68,17601,other,
69,69,17901,other,
70,70,18068,other,
71,71,18384,first,15
72,72,18548,other,
73,73,18847,other,
74,74,19020,other,
75,75,19360,other,
76,76,19527,other,
77,77,19856,other,
78,78,20023,other,
79,79,20340,other,
80,80,20506,other,
81,81,20812,other,
82,82,20974,other,
83,83,21292,first,11
84,84,21465,other,
85,85,21846,other,
86,86,22013,first,2
87,87,22247,other,
88,88,22415,other,
89,89,22745,other,
90,90,22906,other,
91,91,23223,other,
92,92,23392,first,5
93,93,23717,other,
94,94,23964,other,
95,95,24202,other,
96,96,24362,other,
97,97,24672,other,
98,98,24836,other,
99,99,25164,other,
100,100,25324,other,
101,101,25635,other,
102,102,25804,other,
103,103,26136,other,
104,104,26303,other,
105,105,26625,other,
106,106,26788,other,
107,107,27097,first,14
108,108,27260,other,
109,109,27555,other,
110,110,27719,other,
111,111,28048,other,
112,112,28214,other,
113,113,28506,other,
114,114,28753,other,
115,115,28998,other,
116,116,29166,other,
117,117,29556,other,
118,118,29721,other,
119,119,30053,other,
120,120,30213,other,
121,121,30453,other,
122,122,30613,first,14
123,123,30916,other,
124,124,31151,other,
125,125,31378,other,
126,126,31536,other,
127,127,31828,other,
128,128,31990,other,
129,129,32311,other,
130,130,32478,other,
131,131,32787,other,
132,132,32949,other,
133,133,33263,other,
134,134,33427,other,
135,135,33761,other,
136,136,33920,other,
137,137,34231,other,
138,138,34391,other,
139,139,34707,first,16
140,140,34942,other,
141,141,35168,other,
142,142,35325,other,
143,143,35628,first,3
144,144,35788,other,
145,145,36094,other,
146,146,36250,other,
147,147,36559,other,
148,148,36717,other,
149,149,37043,other,
150,150,37208,other,
151,151,37490,other,
152,152,37652,other,
153,153,37965,first,9
154,154,38204,other,
155,155,38440,other,
156,156,38591,other,
157,157,38892,other,
158,158,39054,other,
159,159,39359,other,
160,160,39514,other,
161,161,39833,other,
162,162,39993,other,
163,163,40311,other,
164,164,40472,other,
165,165,40765,other,
166,166,40923,other,
167,167,41218,other,
168,168,41374,other,
169,169,41674,other,
170,170,41830,first,16
171,171,42129,other,
172,172,42286,other,
173,173,42594,other,
174,174,42751,other,
175,175,43045,other,
176,176,43205,other,
177,177,43493,other,
178,178,43650,other,
179,179,43960,first,8
180,180,44114,other,
181,181,44574,other,
182,182,44880,other,
183,183,45033,first,3
184,184,45336,other,
185,185,45497,other,
186,186,45881,other,
187,187,46041,first,3
188,188,46267,other,
189,189,46427,other,
190,190,46735,other,
191,191,46890,other,
192,192,47189,other,
193,193,47340,other,
194,194,47626,other,
195,195,47779,other,
196,196,48074,other,
197,197,48233,other,
198,198,48534,other,
199,199,48692,other,
200,200,48995,other,
201,201,49148,other,
202,202,49432,other,
203,203,49582,other,
204,204,49881,other,
205,205,50031,first,17
206,206,50320,other,
207,207,50468,other,
208,208,50748,other,
209,209,50901,other,
210,210,51208,other,
211,211,51364,other,
212,212,51658,other,
213,213,51808,other,
214,214,52092,other,
215,215,52315,other,
216,216,52534,other,
217,217,52687,other,
218,218,52980,other,
219,219,53130,other,
220,220,53442,other,
221,221,53596,other,
222,222,53896,first,16
223,223,54052,other,
224,224,54356,other,
225,225,54506,other,
226,226,54795,other,
227,227,54940,other,
228,228,55235,first,5
229,229,55384,other,
230,230,55669,other,
231,231,55818,first,2
232,232,56110,other,
233,233,56255,other,
234,234,56534,other,
235,235,56674,other,
236,236,56963,other,
237,237,57114,first,5
238,238,57419,other,
239,239,57565,other,
240,240,57866,other,
241,241,58007,other,
242,242,58268,other,
243,243,58416,other,
244,244,58700,other,
245,245,58837,other,
246,246,59120,other,
247,247,59262,other,
248,248,59557,other,
249,249,59692,other,
