,keystroke_idx,time,type,prev_keystrokes
0,0,305,other,
1,1,409,other,
2,2,526,other,
3,3,637,other,
4,4,1070,first,0
5,5,1180,other,
6,6,1299,other,
7,7,1422,other,
8,8,1776,other,
9,9,1887,other,
10,10,2010,other,
11,11,2133,other,
12,12,2558,other,
13,13,2670,other,
14,14,2789,other,
15,15,2906,other,
16,16,3402,first,11
17,17,3512,other,
18,18,3643,other,
19,19,3754,other,
20,20,4163,other,
21,21,4275,first,4
22,22,4410,other,
23,23,4523,other,
24,24,4990,other,
25,25,5093,other,
26,26,5203,other,
27,27,5310,first,5
28,28,5610,other,
29,29,5714,other,
30,30,5824,other,
31,31,5933,other,
32,32,6281,other,
33,33,6397,other,
34,34,6507,other,
35,35,6628,other,
36,36,6939,first,8
37,37,7145,other,
38,38,7261,other,
39,39,7664,other,
40,40,7820,other,
41,41,7945,other,
42,42,8068,other,
43,43,8498,other,
44,44,8619,other,
45,45,8747,other,
46,46,8973,other,
47,47,9294,first,10
48,48,9422,other,
49,49,9562,other,
50,50,9735,other,
51,51,10141,first,3
52,52,10272,other,
53,53,10406,other,
54,54,10535,other,
55,55,10905,other,
56,56,11069,other,
57,57,11175,other,
58,58,11297,other,
59,59,11629,other,
60,60,11837,other,
61,61,11949,other,
62,62,12288,other,
63,63,12483,other,
64,64,12591,first,12
65,65,12905,other,
66,66,13017,other,
67,67,13134,other,
68,68,13255,other,
69,69,13639,other,
70,70,13858,first,5
71,71,13976,other,
72,72,14316,other,
73,73,14449,other,
74,74,14555,first,3
75,75,14667,other,
76,76,14959,other,
77,77,15137,other,
78,78,15252,other,
79,79,15358,other,
80,80,15682,other,
81,81,15791,other,
82,82,15902,first,7
83,83,16018,other,
84,84,16313,other,
85,85,16415,other,
86,86,16517,other,
87,87,16638,other,
88,88,16986,other,
89,89,17102,other,
90,90,17227,other,
91,91,17337,other,
92,92,17634,other,
93,93,17743,other,
94,94,17861,other,
95,95,17973,other,
96,96,18220,other,
97,97,18331,other,
98,98,18441,other,
99,99,18544,other,
100,100,18798,other,
101,101,18908,other,
102,102,19014,other,
103,103,19117,other,
104,104,19504,first,21
105,105,19624,other,
106,106,19734,other,
107,107,19852,other,
108,108,20174,other,
109,109,20283,other,
110,110,20399,other,
111,111,20506,other,
112,112,20829,other,
113,113,20932,other,
114,114,21040,other,
115,115,21152,other,
116,116,21524,other,
117,117,21628,other,
118,118,21756,other,
119,119,21869,other,
120,120,22182,other,
121,121,22299,other,
122,122,22415,other,
123,123,22778,first,18
