,keystroke_idx,time,type,prev_keystrokes
315,315,61621,other,
316,316,61790,other,
317,317,61926,other,
318,318,62251,other,
319,319,62375,other,
320,320,62486,other,
321,321,62634,other,
322,322,62975,other,
323,323,63092,other,
324,324,63216,other,
325,325,63332,other,
326,326,63808,first,19
327,327,63940,other,
328,328,64074,other,
329,329,64212,other,
330,330,64572,other,
331,331,64705,other,
332,332,64841,other,
333,333,65002,other,
334,334,65587,other,
335,335,65710,other,
336,336,65835,other,
337,337,65974,other,
338,338,66310,other,
339,339,66438,other,
340,340,66560,other,
341,341,66688,other,
342,342,67054,other,
343,343,67191,first,16
344,344,67296,other,
345,345,67431,other,
346,346,67715,other,
347,347,67820,other,
348,348,67946,other,
349,349,68088,other,
350,350,68377,other,
351,351,68523,other,
352,352,68655,other,
353,353,68774,other,
354,354,69190,other,
355,355,69299,first,11
356,356,69432,other,
357,357,69577,other,
358,358,69833,other,
359,359,69967,other,
360,360,70087,other,
361,361,70236,first,5
362,362,70706,other,
363,363,70839,other,
364,364,71002,other,
365,365,71140,other,
366,366,71581,other,
367,367,71693,other,
368,368,71821,other,
369,369,72001,other,
370,370,72406,first,8
371,371,72524,other,
372,372,72655,other,
373,373,72789,other,
374,374,73148,other,
375,375,73264,other,
376,376,73400,other,
377,377,73542,other,
378,378,73885,other,
379,379,74010,other,
380,380,74133,other,
381,381,74264,other,
382,382,74577,first,11
383,383,74711,other,
384,384,74843,other,
385,385,74997,other,
386,386,75499,other,
387,387,75636,other,
388,388,75782,first,5
389,389,75906,first,0
390,390,76263,first,0
391,391,76401,first,0
392,392,76525,first,0
393,393,76671,first,0
