,keystroke_idx,time,type,prev_keystrokes
0,0,153,other,
1,1,542,other,
2,2,663,other,
3,3,1026,other,
4,4,1140,other,
5,5,1253,other,
6,6,1368,other,
7,7,1614,other,
8,8,1716,other,
9,9,1833,other,
10,10,1956,other,
11,11,2207,other,
12,12,2320,other,
13,13,2442,other,
14,14,2561,first,0
15,15,2912,other,
16,16,3032,other,
17,17,3148,other,
18,18,3387,other,
19,19,3501,other,
20,20,3615,other,
21,21,3734,other,
22,22,3978,other,
23,23,4090,other,
24,24,4216,other,
25,25,4334,other,
26,26,4554,other,
27,27,4665,other,
28,28,4913,first,13
29,29,5168,other,
30,30,5293,other,
31,31,5394,other,
32,32,5512,other,
33,33,5768,first,4
34,34,5886,other,
35,35,6129,other,
36,36,6375,other,
37,37,6495,other,
38,38,6617,other,
39,39,6737,other,
40,40,6986,first,6
41,41,7120,other,
42,42,7247,other,
43,43,7369,other,
44,44,7608,other,
45,45,7745,other,
46,46,7860,other,
47,47,7990,other,
48,48,8248,first,7
49,49,8380,other,
50,50,8507,other,
51,51,8634,other,
52,52,8893,other,
53,53,9012,other,
54,54,9140,other,
55,55,9266,other,
56,56,9517,other,
57,57,9636,other,
58,58,9765,other,
59,59,9887,other,
60,60,10149,other,
61,61,10271,other,
62,62,10399,other,
63,63,10534,other,
64,64,10805,first,15
65,65,11168,other,
66,66,11425,other,
67,67,11559,first,2
68,68,11693,other,
69,69,11830,other,
70,70,12074,other,
71,71,12205,other,
72,72,12333,other,
73,73,12468,other,
74,74,12742,other,
75,75,12864,other,
76,76,13002,other,
77,77,13131,other,
78,78,13397,other,
79,79,13527,other,
80,80,13654,other,
81,81,13790,other,
82,82,14053,other,
83,83,14186,first,15
84,84,14314,other,
85,85,14448,other,
86,86,14715,other,
87,87,14852,other,
88,88,14987,other,
89,89,15110,other,
90,90,15360,first,6
91,91,15487,other,
92,92,15613,other,
93,93,15740,other,
94,94,16002,first,3
95,95,16133,other,
96,96,16265,other,
97,97,16395,other,
98,98,16660,other,
99,99,16786,other,
100,100,17048,other,
101,101,17322,other,
102,102,17456,first,7
103,103,17588,other,
104,104,17723,other,
105,105,17970,other,
106,106,18096,other,
107,107,18227,other,
108,108,18354,other,
109,109,18619,other,
110,110,18747,other,
111,111,18880,other,
112,112,19005,other,
113,113,19272,other,
114,114,19395,other,
