,keystroke_idx,time,type,prev_keystrokes
0,0,1031,other,
1,1,1156,other,
2,2,1297,other,
3,3,1432,other,
4,4,2172,other,
5,5,2297,other,
6,6,2427,other,
7,7,2557,other,
8,8,3265,first,8
9,9,3382,other,
10,10,3518,other,
11,11,3639,other,
12,12,4344,other,
13,13,4462,other,
14,14,4591,other,
15,15,4723,other,
16,16,5448,first,7
17,17,5564,other,
18,18,5687,other,
19,19,5814,first,2
20,20,6493,other,
21,21,6611,other,
22,22,6763,other,
23,23,6896,first,3
24,24,7551,other,
25,25,7734,other,
26,26,7879,other,
27,27,8031,other,
28,28,8758,first,4
29,29,8887,other,
30,30,9027,other,
31,31,9156,other,
32,32,9872,other,
33,33,10004,other,
34,34,10143,other,
35,35,10277,other,
36,36,10974,first,7
37,37,11096,other,
38,38,11225,other,
39,39,11361,other,
40,40,12041,first,3
41,41,12160,other,
42,42,12283,other,
43,43,12414,other,
44,44,13084,other,
45,45,13206,other,
46,46,13394,other,
47,47,13541,other,
48,48,14222,first,7
49,49,14342,other,
50,50,14475,other,
51,51,14602,other,
52,52,15271,other,
53,53,15391,first,4
54,54,15520,other,
55,55,15639,other,
56,56,16270,first,2
57,57,16390,other,
58,58,16517,other,
59,59,16633,other,
60,60,17279,other,
61,61,17396,other,
62,62,17533,first,5
63,63,17665,other,
64,64,18477,other,
65,65,18583,other,
66,66,18710,other,
67,67,18843,other,
68,68,19501,other,
69,69,19619,other,
70,70,19742,other,
71,71,19869,other,
72,72,20534,other,
73,73,20649,other,
74,74,20768,other,
75,75,20884,other,
76,76,21645,first,13
77,77,21762,other,
78,78,21883,other,
79,79,21997,other,
80,80,22664,other,
81,81,22774,other,
82,82,22889,other,
83,83,23026,other,
84,84,23621,other,
85,85,23724,other,
86,86,23841,other,
87,87,23958,other,
88,88,24602,first,11
89,89,24717,first,0
90,90,24845,other,
91,91,24959,other,
92,92,25599,other,
93,93,25724,other,
94,94,25836,other,
95,95,25950,other,
96,96,26676,first,6
97,97,26791,other,
98,98,26916,other,
99,99,27096,other,
100,100,27772,other,
101,101,27882,other,
102,102,27999,other,
103,103,28118,other,
104,104,28771,other,
105,105,28878,other,
106,106,28992,other,
107,107,29137,other,
108,108,30016,first,11
109,109,30136,other,
110,110,30246,other,
111,111,30362,other,
112,112,31041,other,
113,113,31167,other,
114,114,31297,other,
115,115,31428,other,
116,116,32130,other,
117,117,32253,other,
118,118,32386,other,
119,119,32536,other,
120,120,33192,other,
121,121,33317,other,
122,122,33434,first,13
123,123,33562,other,
124,124,34230,other,
125,125,34412,other,
126,126,34547,other,
127,127,34673,other,
128,128,35275,other,
129,129,35395,other,
130,130,35524,other,
131,131,35658,other,
132,132,36267,other,
133,133,36377,other,
134,134,36493,other,
135,135,36608,other,
136,136,37225,other,
137,137,37348,other,
138,138,37472,first,15
139,139,37602,other,
140,140,38197,first,1
141,141,38304,other,
142,142,38425,other,
143,143,38548,other,
144,144,39165,other,
145,145,39280,other,
146,146,39404,other,
147,147,39527,other,
148,148,40206,other,
149,149,40321,other,
150,150,40437,other,
151,151,40553,other,
152,152,41325,first,11
153,153,41454,other,
154,154,41577,other,
155,155,41704,other,
156,156,42413,other,
157,157,42534,other,
158,158,42657,other,
159,159,42779,other,
160,160,43394,other,
161,161,43505,other,
162,162,43632,other,
163,163,43752,other,
164,164,44358,other,
165,165,44472,other,
166,166,44590,first,13
167,167,44718,other,
168,168,45375,other,
169,169,45506,other,
170,170,45627,other,
171,171,45759,other,
172,172,46435,other,
173,173,46566,other,
174,174,46707,other,
175,175,46837,first,8
176,176,47486,other,
177,177,47616,other,
178,178,47738,other,
179,179,47875,first,3
180,180,48521,other,
181,181,48636,other,
182,182,48760,other,
183,183,48881,first,3
184,184,49602,other,
185,185,49718,other,
186,186,49849,other,
187,187,49978,other,
188,188,50842,other,
189,189,50964,other,
190,190,51096,other,
191,191,51236,other,
192,192,51994,other,
193,193,52186,other,
194,194,52316,other,
195,195,52457,other,
196,196,53160,first,12
197,197,53290,other,
198,198,53417,other,
199,199,53550,other,
200,200,54268,other,
201,201,54381,other,
202,202,54516,other,
203,203,54643,other,
204,204,55307,other,
205,205,55425,other,
206,206,55553,other,
207,207,55680,other,
208,208,56450,other,
209,209,56567,other,
210,210,56687,first,13
211,211,56823,other,
212,212,57518,other,
213,213,57644,other,
214,214,57768,other,
215,215,57891,first,4
