,keystroke_idx,time,type,prev_keystrokes
0,0,238,other,
1,1,412,other,
2,2,851,other,
3,3,1044,first,0
4,4,2009,other,
5,5,2111,other,
6,6,2292,other,
7,7,2653,other,
8,8,2831,other,
9,9,3328,first,5
10,10,3491,other,
11,11,4114,other,
12,12,4303,first,2
13,13,4405,other,
14,14,4708,other,
15,15,4908,other,
16,16,5014,other,
17,17,5403,first,4
18,18,5510,other,
19,19,5711,other,
20,20,6208,other,
21,21,6313,other,
22,22,6421,other,
23,23,6522,other,
24,24,7042,first,6
25,25,7152,other,
26,26,7268,other,
27,27,7383,other,
28,28,7922,other,
29,29,8028,other,
30,30,8137,other,
31,31,8245,other,
32,32,8818,other,
33,33,8925,other,
34,34,9040,other,
35,35,9153,other,
36,36,9717,first,11
37,37,9822,other,
38,38,9929,other,
39,39,10038,first,2
40,40,10557,other,
41,41,10661,other,
42,42,10765,other,
43,43,10885,other,
44,44,11385,other,
45,45,11490,other,
46,46,11593,other,
47,47,12210,other,
48,48,12415,other,
49,49,12526,other,
50,50,13015,first,10
51,51,13220,other,
52,52,13321,other,
53,53,13818,other,
54,54,13922,first,3
55,55,14028,other,
56,56,14130,other,
57,57,14629,first,2
58,58,14730,other,
59,59,14831,other,
60,60,14933,other,
61,61,15444,other,
62,62,15645,other,
63,63,16213,first,5
64,64,16402,other,
65,65,16504,other,
66,66,17027,other,
67,67,17130,other,
68,68,17232,other,
69,69,17776,other,
70,70,17958,other,
71,71,18483,other,
72,72,18670,other,
73,73,19174,other,
74,74,19275,other,
75,75,19470,first,11
76,76,19920,other,
77,77,20115,other,
78,78,20644,other,
79,79,20840,other,
80,80,21376,other,
81,81,21553,other,
82,82,22078,other,
83,83,22247,other,
84,84,22780,first,8
85,85,22964,other,
86,86,23499,first,1
87,87,23671,other,
88,88,24202,other,
89,89,24375,other,
90,90,24895,first,3
91,91,25072,other,
92,92,25510,other,
93,93,25678,other,
94,94,26102,other,
95,95,26206,other,
96,96,26396,other,
97,97,26695,other,
98,98,26799,other,
99,99,26997,other,
100,100,27482,other,
101,101,27657,other,
102,102,28124,other,
103,103,28225,first,12
104,104,28418,other,
105,105,28892,other,
106,106,29076,other,
107,107,29180,other,
108,108,29624,other,
109,109,29815,other,
110,110,30519,other,
111,111,30711,other,
112,112,31125,other,
113,113,31313,other,
114,114,31788,other,
115,115,31892,first,11
116,116,32069,other,
117,117,32420,other,
118,118,32613,other,
119,119,32715,other,
120,120,33084,other,
121,121,33267,other,
122,122,33630,other,
123,123,33805,other,
124,124,34210,other,
125,125,34311,other,
126,126,34486,other,
127,127,34745,other,
128,128,34940,other,
129,129,35044,other,
130,130,35320,other,
131,131,35484,other,
132,132,35821,other,
133,133,35984,first,17
134,134,36358,other,
135,135,36541,other,
136,136,36926,first,2
137,137,37098,other,
138,138,37445,other,
139,139,37608,other,
140,140,37938,other,
141,141,38097,other,
142,142,38433,other,
143,143,38604,other,
144,144,38932,other,
145,145,39095,other,
146,146,39421,first,9
147,147,39577,other,
148,148,40223,other,
149,149,40394,other,
150,150,40860,other,
151,151,41034,other,
152,152,41632,other,
153,153,41817,other,
154,154,42278,other,
155,155,42462,other,
156,156,43029,first,9
157,157,43198,other,
158,158,43622,other,
159,159,43804,other,
160,160,43908,other,
161,161,44192,other,
162,162,44379,other,
163,163,45091,other,
164,164,45259,first,7
165,165,45811,other,
166,166,45974,other,
167,167,46467,first,2
168,168,46631,other,
169,169,47017,other,
170,170,47181,other,
171,171,47728,first,3
172,172,47891,other,
173,173,48342,other,
174,174,48502,other,
175,175,48955,other,
176,176,49115,other,
177,177,49510,other,
178,178,49654,other,
179,179,50054,other,
180,180,50186,other,
181,181,50345,other,
182,182,50617,other,
183,183,50755,other,
184,184,50899,other,
185,185,51223,first,13
186,186,51357,other,
187,187,51500,other,
188,188,51906,other,
189,189,52044,other,
190,190,52190,other,
191,191,52470,other,
192,192,52605,other,
193,193,52742,other,
194,194,53067,other,
195,195,53189,other,
196,196,53321,other,
197,197,53688,other,
198,198,53832,other,
199,199,54186,other,
200,200,54334,other,
201,201,54780,other,
202,202,54924,other,
203,203,55307,first,17
204,204,55452,other,
205,205,55815,other,
206,206,55969,other,
207,207,56298,other,
208,208,56446,first,4
209,209,56844,other,
210,210,57035,first,1
211,211,57147,other,
212,212,57647,other,
213,213,57803,other,
214,214,57980,other,
215,215,58265,other,
216,216,58384,first,5
217,217,58545,other,
218,218,59066,other,
219,219,59175,other,
220,220,59292,other,
221,221,59412,other,
222,222,59746,other,
223,223,59861,other,
224,224,59970,other,
225,225,60088,other,
226,226,60430,other,
227,227,60549,other,
228,228,60658,other,
229,229,60774,other,
230,230,61131,other,
231,231,61239,other,
232,232,61345,other,
233,233,61455,other,
234,234,61748,other,
235,235,61862,other,
236,236,61971,first,19
237,237,62080,other,
238,238,62496,other,
239,239,62613,other,
240,240,62728,other,
241,241,62840,other,
242,242,63169,other,
243,243,63283,other,
244,244,63390,other,
245,245,63504,other,
246,246,63852,other,
247,247,63963,other,
248,248,64074,other,
249,249,64189,other,
250,250,64511,other,
251,251,64615,other,
252,252,64724,other,
253,253,64841,other,
254,254,65095,other,
255,255,65202,other,
256,256,65406,other,
257,257,65686,first,20
258,258,65880,other,
259,259,65985,other,
260,260,66214,other,
261,261,66321,other,
262,262,66511,other,
263,263,66835,other,
264,264,66948,other,
265,265,67051,other,
266,266,67152,other,
267,267,67467,other,
268,268,67662,other,
269,269,67768,first,11
270,270,67869,other,
271,271,68151,other,
272,272,68256,other,
273,273,68434,other,
274,274,68705,first,4
275,275,68896,other,
276,276,68999,other,
277,277,69266,other,
278,278,69460,other,
279,279,69805,other,
280,280,69906,other,
281,281,70085,other,
282,282,70359,other,
283,283,70545,other,
284,284,70658,other,
285,285,70882,first,10
286,286,71044,other,
287,287,71391,other,
288,288,71562,other,
289,289,71735,other,
290,290,72030,other,
291,291,72190,other,
292,292,72361,other,
293,293,72615,other,
294,294,72778,other,
295,295,72943,first,9
296,296,73097,other,
297,297,73612,other,
298,298,73773,other,
299,299,74406,first,3
300,300,74546,first,0
301,301,75244,first,0
302,302,75476,first,0
303,303,75842,first,0
304,304,75979,first,0
305,305,76412,first,0
306,306,76528,first,0
307,307,76728,first,0
