,keystroke_idx,time,type,prev_keystrokes
0,0,174,other,
1,1,317,other,
2,2,698,other,
3,3,839,other,
4,4,1070,other,
5,5,1213,other,
6,6,1584,other,
7,7,1724,other,
8,8,2081,other,
9,9,2219,other,
10,10,2551,other,
11,11,2695,first,0
12,12,3015,other,
13,13,3156,other,
14,14,3449,other,
15,15,3591,other,
16,16,3942,other,
17,17,4087,other,
18,18,4556,other,
19,19,4694,other,
20,20,5060,first,8
21,21,5198,other,
22,22,5669,other,
23,23,5807,first,2
24,24,6125,other,
25,25,6270,other,
26,26,6686,other,
27,27,6829,first,3
28,28,7229,other,
29,29,7365,other,
30,30,7770,other,
31,31,7909,other,
32,32,8362,first,4
33,33,8503,other,
34,34,8877,other,
35,35,9012,other,
36,36,9461,other,
37,37,9606,other,
38,38,9920,other,
39,39,10059,other,
40,40,10485,other,
41,41,10631,other,
42,42,11008,first,9
43,43,11152,other,
44,44,11538,first,1
45,45,11673,other,
46,46,12042,other,
47,47,12177,other,
48,48,12577,other,
49,49,12713,other,
50,50,13141,other,
51,51,13697,other,
52,52,13829,other,
53,53,14239,first,8
54,54,14374,other,
55,55,14745,other,
56,56,14885,other,
57,57,15222,other,
58,58,15445,first,4
59,59,15738,other,
60,60,15872,other,
61,61,16159,first,2
62,62,16299,other,
63,63,16755,other,
64,64,16891,other,
65,65,17238,other,
66,66,17371,other,
67,67,17699,first,5
68,68,17834,other,
69,69,18140,other,
70,70,18275,other,
71,71,18599,other,
72,72,18739,other,
73,73,19037,other,
74,74,19177,other,
75,75,19496,other,
76,76,19635,other,
77,77,19982,other,
78,78,20114,other,
79,79,20432,other,
80,80,20569,other,
81,81,20914,other,
82,82,21057,first,14
83,83,21436,other,
84,84,21568,other,
85,85,21888,other,
86,86,22021,other,
87,87,22372,other,
88,88,22515,other,
89,89,22836,other,
90,90,22969,other,
91,91,23466,other,
92,92,23607,other,
93,93,23829,other,
94,94,24027,other,
95,95,24246,first,12
96,96,24446,other,
97,97,24662,other,
98,98,24797,first,2
99,99,25089,other,
100,100,25221,other,
101,101,25506,other,
102,102,25639,other,
103,103,25925,other,
104,104,26055,other,
105,105,26329,first,6
106,106,26458,other,
107,107,26752,other,
108,108,26890,other,
109,109,27159,other,
110,110,27286,other,
111,111,27570,other,
112,112,27710,other,
113,113,27984,other,
114,114,28117,other,
115,115,28385,other,
116,116,28523,other,
117,117,28791,other,
118,118,28921,other,
119,119,29197,other,
120,120,29399,other,
121,121,29567,other,
122,122,29712,first,16
123,123,30006,other,
124,124,30146,other,
125,125,30419,other,
126,126,30564,other,
127,127,30853,other,
128,128,31000,other,
129,129,31280,other,
