,keystroke_idx,time,type,prev_keystrokes
0,0,183,other,
1,1,295,other,
2,2,407,other,
3,3,526,other,
4,4,832,other,
5,5,946,other,
6,6,1058,other,
7,7,1175,other,
8,8,1489,other,
9,9,1599,other,
10,10,1713,other,
11,11,1835,other,
12,12,2161,other,
13,13,2280,other,
14,14,2401,other,
15,15,2532,other,
16,16,2863,first,0
17,17,2977,other,
18,18,3089,other,
19,19,3210,other,
20,20,3534,other,
21,21,3652,other,
22,22,3909,other,
23,23,4232,other,
24,24,4350,other,
25,25,4468,other,
26,26,4591,other,
27,27,4906,first,10
28,28,5020,other,
29,29,5145,other,
30,30,5265,other,
31,31,5599,other,
32,32,5716,other,
33,33,5962,first,5
34,34,6280,other,
35,35,6395,other,
36,36,6511,other,
37,37,6634,other,
38,38,6973,first,4
39,39,7096,other,
40,40,7218,other,
41,41,7346,other,
42,42,7682,other,
43,43,7823,other,
44,44,7956,other,
45,45,8101,other,
46,46,8459,first,7
47,47,8575,other,
48,48,8695,other,
49,49,8825,other,
50,50,9198,other,
51,51,9322,other,
52,52,9451,other,
53,53,9588,other,
54,54,9912,other,
55,55,10032,other,
56,56,10158,other,
57,57,10278,other,
58,58,10601,other,
59,59,10727,other,
60,60,10854,first,13
61,61,10995,other,
62,62,11312,other,
63,63,11436,other,
64,64,11563,first,3
65,65,11695,other,
66,66,12044,other,
67,67,12159,other,
68,68,12308,other,
69,69,12439,other,
70,70,12671,other,
71,71,12809,other,
72,72,12931,other,
73,73,13065,other,
74,74,13410,other,
75,75,13547,other,
76,76,13678,other,
77,77,13812,other,
78,78,14063,other,
79,79,14189,first,14
80,80,14317,other,
81,81,14463,other,
82,82,14781,other,
83,83,14911,other,
84,84,15037,other,
85,85,15167,other,
86,86,15502,first,6
87,87,15633,other,
88,88,15754,other,
89,89,15895,other,
90,90,16253,first,3
91,91,16385,other,
92,92,16540,other,
93,93,16688,other,
94,94,16993,other,
95,95,17134,other,
96,96,17270,other,
97,97,17412,first,6
98,98,17636,other,
99,99,17761,other,
100,100,18021,other,
101,101,18245,other,
102,102,18384,other,
103,103,18523,other,
104,104,18999,other,
105,105,19136,other,
106,106,19272,other,
107,107,19428,other,
108,108,19738,other,
109,109,19881,other,
110,110,20021,other,
111,111,20180,other,
112,112,20560,other,
113,113,20710,other,
114,114,20862,other,
115,115,21015,first,17
116,116,21399,other,
117,117,21542,other,
118,118,21693,other,
119,119,21853,other,
120,120,22127,other,
121,121,22283,other,
122,122,22436,other,
123,123,22594,other,
124,124,22918,other,
125,125,23089,other,
126,126,23258,other,
127,127,23415,other,
128,128,23708,other,
129,129,23869,other,
130,130,24028,other,
131,131,24194,first,15
132,132,24522,other,
133,133,24686,other,
134,134,24840,first,2
135,135,25001,other,
136,136,25323,other,
137,137,25481,other,
138,138,25648,other,
139,139,25805,other,
140,140,26143,first,5
141,141,26305,other,
142,142,26469,other,
143,143,26625,other,
144,144,26980,other,
145,145,27132,other,
146,146,27297,other,
147,147,27451,other,
148,148,27832,other,
149,149,27997,other,
150,150,28155,other,
151,151,28326,other,
152,152,28706,other,
153,153,28882,other,
154,154,29039,other,
155,155,29200,other,
156,156,29538,other,
157,157,29696,first,16
158,158,29859,other,
159,159,30030,other,
160,160,30400,other,
161,161,30560,other,
162,162,30723,other,
163,163,30889,other,
164,164,31266,other,
165,165,31434,other,
166,166,31594,other,
167,167,31752,other,
168,168,32075,other,
169,169,32228,other,
170,170,32380,other,
