,keystroke_idx,time,type,prev_keystrokes
0,0,128,other,
1,1,511,other,
2,2,637,other,
3,3,767,other,
4,4,896,other,
5,5,1280,other,
6,6,1400,other,
7,7,1526,other,
8,8,1655,other,
9,9,2046,other,
10,10,2181,other,
11,11,2315,other,
12,12,2451,other,
13,13,2821,first,0
14,14,2954,other,
15,15,3080,other,
16,16,3201,other,
17,17,3609,other,
18,18,3726,other,
19,19,3847,other,
20,20,3965,other,
21,21,4354,other,
22,22,4485,other,
23,23,4610,other,
24,24,4730,other,
25,25,5123,first,11
26,26,5250,other,
27,27,5381,other,
28,28,5511,other,
29,29,5876,first,3
30,30,6008,other,
31,31,6138,other,
32,32,6270,other,
33,33,6670,other,
34,34,6791,first,4
35,35,6921,other,
36,36,7054,other,
37,37,7417,other,
38,38,7549,other,
39,39,7689,other,
40,40,7820,other,
41,41,8187,other,
42,42,8324,first,7
43,43,8460,other,
44,44,8590,other,
45,45,8964,other,
46,46,9090,other,
47,47,9215,other,
48,48,9345,other,
49,49,9731,other,
50,50,9861,other,
51,51,9994,other,
52,52,10125,other,
53,53,10513,other,
54,54,10640,other,
55,55,10770,first,12
56,56,10893,other,
57,57,11285,other,
58,58,11407,other,
59,59,11531,first,3
60,60,11661,other,
61,61,12041,other,
62,62,12173,other,
63,63,12308,other,
64,64,12440,other,
65,65,12798,other,
66,66,12934,other,
67,67,13063,other,
68,68,13197,other,
69,69,13563,other,
70,70,13698,other,
71,71,13829,other,
72,72,13961,other,
73,73,14345,first,13
74,74,14479,other,
75,75,14617,other,
76,76,14746,other,
77,77,15106,other,
78,78,15232,other,
79,79,15355,other,
80,80,15480,first,6
81,81,15761,other,
82,82,15888,other,
83,83,16014,first,2
84,84,16135,other,
85,85,16505,other,
86,86,16642,other,
87,87,16774,other,
88,88,16904,other,
89,89,17291,other,
90,90,17418,first,6
91,91,17549,other,
92,92,17679,other,
93,93,18053,other,
94,94,18181,other,
95,95,18315,other,
96,96,18445,other,
97,97,18823,other,
98,98,18951,other,
99,99,19085,other,
100,100,19222,other,
101,101,19594,other,
102,102,19721,other,
103,103,19853,other,
104,104,19974,other,
105,105,20363,other,
106,106,20492,other,
107,107,20617,other,
108,108,20759,other,
109,109,21127,first,18
110,110,21260,other,
111,111,21401,other,
112,112,21523,other,
113,113,22014,other,
114,114,22148,other,
115,115,22277,other,
116,116,22416,other,
117,117,22794,other,
118,118,22931,other,
119,119,23064,other,
120,120,23261,other,
121,121,23702,other,
122,122,23831,other,
123,123,23959,other,
124,124,24094,first,14
125,125,24465,other,
126,126,24587,other,
127,127,24715,first,2
128,128,24842,other,
129,129,25222,other,
130,130,25351,other,
131,131,25485,other,
132,132,25618,other,
133,133,25998,other,
134,134,26124,first,6
135,135,26253,other,
136,136,26378,other,
137,137,26761,other,
138,138,26882,other,
139,139,27010,other,
140,140,27134,other,
141,141,27414,other,
142,142,27532,other,
143,143,27654,other,
144,144,27810,other,
145,145,28168,other,
146,146,28302,other,
147,147,28430,other,
148,148,28561,other,
149,149,28928,other,
150,150,29059,other,
151,151,29188,other,
152,152,29329,other,
153,153,29694,other,
154,154,29828,first,19
155,155,29961,other,
156,156,30088,other,
157,157,30457,other,
158,158,30582,other,
159,159,30714,other,
160,160,30840,other,
161,161,31248,other,
162,162,31379,other,
163,163,31501,other,
164,164,31623,other,
