,keystroke_idx,time,type,prev_keystrokes
0,0,259,other,
1,1,402,other,
2,2,545,other,
3,3,682,other,
4,4,1027,other,
5,5,1166,other,
6,6,1308,other,
7,7,1436,other,
8,8,1781,other,
9,9,1918,other,
10,10,2049,other,
11,11,2182,other,
12,12,2562,first,12
13,13,2694,other,
14,14,2819,other,
15,15,2941,other,
16,16,3322,other,
17,17,3466,other,
18,18,3601,other,
19,19,3730,other,
20,20,4102,other,
21,21,4236,other,
22,22,4379,other,
23,23,4506,other,
24,24,4861,first,11
25,25,4999,other,
26,26,5136,other,
27,27,5273,other,
28,28,5770,first,3
29,29,5909,other,
30,30,6047,other,
31,31,6187,other,
32,32,6560,other,
33,33,6688,other,
34,34,6816,first,5
35,35,6953,other,
36,36,7285,other,
37,37,7415,other,
38,38,7548,other,
39,39,7691,other,
40,40,8065,other,
41,41,8201,first,6
42,42,8337,other,
43,43,8471,other,
44,44,8855,other,
45,45,8984,other,
46,46,9116,other,
47,47,9254,other,
48,48,9601,other,
49,49,9739,other,
50,50,9885,other,
51,51,10033,other,
52,52,10370,other,
53,53,10523,other,
54,54,10665,other,
55,55,10805,first,13
56,56,11144,other,
57,57,11295,other,
58,58,11440,other,
59,59,11587,first,3
60,60,11905,other,
61,61,12055,other,
62,62,12187,other,
63,63,12323,other,
64,64,12681,other,
65,65,12814,other,
66,66,12947,other,
67,67,13062,other,
68,68,13457,other,
69,69,13595,other,
70,70,13728,other,
71,71,13850,other,
72,72,14199,first,12
73,73,14335,other,
74,74,14472,other,
75,75,14616,other,
76,76,14983,other,
77,77,15105,other,
78,78,15243,other,
79,79,15379,first,6
80,80,15772,other,
81,81,15903,other,
82,82,16025,first,2
83,83,16152,other,
84,84,16386,other,
85,85,16517,other,
86,86,16648,other,
87,87,16777,other,
88,88,17149,other,
89,89,17281,other,
90,90,17406,other,
91,91,17540,first,8
92,92,17926,other,
93,93,18061,other,
94,94,18187,other,
95,95,18334,other,
96,96,18718,other,
97,97,18842,other,
98,98,18972,other,
99,99,19103,other,
100,100,19445,other,
101,101,19586,other,
102,102,19719,other,
103,103,19853,other,
104,104,20243,other,
105,105,20373,other,
106,106,20506,other,
107,107,20633,other,
108,108,21129,first,16
109,109,21264,other,
110,110,21395,other,
111,111,21526,other,
112,112,21890,other,
113,113,22019,other,
114,114,22153,other,
115,115,22290,other,
116,116,22673,other,
117,117,22816,other,
118,118,22960,other,
119,119,23110,other,
120,120,23447,other,
121,121,23584,other,
122,122,23717,other,
123,123,23855,other,
124,124,24201,first,15
125,125,24336,other,
126,126,24484,other,
127,127,24619,other,
128,128,24845,first,3
129,129,24979,other,
130,130,25119,other,
131,131,25267,other,
132,132,25614,other,
133,133,25753,other,
134,134,25887,other,
135,135,26018,other,
136,136,26366,first,7
137,137,26501,other,
138,138,26644,other,
139,139,26773,other,
140,140,27274,other,
141,141,27419,other,
142,142,27554,other,
143,143,27686,other,
144,144,28292,other,
145,145,28431,other,
146,146,28566,other,
147,147,28693,other,
148,148,29071,other,
149,149,29202,other,
150,150,29329,other,
151,151,29453,other,
152,152,29824,first,15
153,153,29951,other,
154,154,30079,other,
155,155,30212,other,
156,156,30480,other,
157,157,30614,other,
158,158,30741,other,
159,159,30866,other,
160,160,31237,other,
161,161,31368,other,
162,162,31491,other,
163,163,31617,other,
164,164,31991,other,
165,165,32119,other,
166,166,32251,other,
167,167,32384,other,
168,168,32778,other,
169,169,32905,other,
170,170,33030,other,
171,171,33165,other,
172,172,33546,first,19
173,173,33678,other,
174,174,33808,other,
175,175,33948,other,
176,176,34326,other,
177,177,34453,other,
178,178,34586,other,
179,179,34717,other,
180,180,35071,other,
181,181,35215,other,
182,182,35362,other,
183,183,35504,other,
184,184,35834,other,
185,185,35973,other,
186,186,36112,other,
187,187,36263,other,
188,188,36748,other,
189,189,36888,other,
190,190,37035,other,
191,191,37190,other,
192,192,37522,first,19
193,193,37660,other,
194,194,37796,other,
195,195,37933,other,
196,196,38275,first,3
197,197,38412,other,
198,198,38549,other,
199,199,38677,other,
200,200,39051,other,
201,201,39171,other,
202,202,39305,other,
203,203,39438,other,
204,204,39810,other,
205,205,39948,other,
206,206,40082,other,
207,207,40217,other,
208,208,40582,other,
209,209,40717,first,12
210,210,40852,other,
211,211,40992,other,
212,212,41365,other,
213,213,41497,other,
214,214,41626,other,
215,215,41761,other,
216,216,41989,other,
217,217,42120,other,
218,218,42257,other,
219,219,42385,other,
220,220,42751,other,
221,221,42890,other,
222,222,43026,other,
223,223,43162,other,
224,224,43517,other,
225,225,43649,other,
226,226,43786,other,
227,227,43913,other,
228,228,44295,other,
229,229,44429,other,
230,230,44562,first,20
231,231,44928,other,
232,232,45073,other,
233,233,45211,other,
234,234,45341,other,
235,235,45696,other,
236,236,45833,other,
237,237,45971,other,
238,238,46472,other,
239,239,46610,other,
240,240,46736,first,9
241,241,46876,other,
242,242,47235,other,
243,243,47376,other,
244,244,47510,other,
245,245,47639,other,
246,246,48012,first,5
247,247,48151,other,
248,248,48292,other,
249,249,48437,other,
250,250,48796,first,3
251,251,48942,other,
252,252,49089,other,
253,253,49243,other,
254,254,49668,other,
255,255,49812,other,
256,256,49954,other,
257,257,50115,other,
258,258,50579,other,
259,259,50724,other,
260,260,50868,other,
261,261,51005,other,
262,262,51458,other,
263,263,51600,other,
264,264,51739,other,
265,265,51871,other,
266,266,52211,other,
267,267,52342,other,
268,268,52466,other,
269,269,52589,other,
270,270,53113,first,19
271,271,53259,other,
272,272,53397,other,
273,273,53525,other,
274,274,54026,other,
275,275,54161,other,
276,276,54286,other,
277,277,54418,other,
278,278,54677,other,
279,279,54796,other,
280,280,54920,other,
281,281,55042,other,
282,282,55423,other,
283,283,55543,other,
284,284,55671,other,
285,285,55792,other,
