,keystroke_idx,time,type,prev_keystrokes,keystrokes_since
0,0,213,first,0,
1,1,378,other,,1.0
2,2,703,other,,2.0
3,3,867,other,,3.0
4,4,1116,other,,4.0
5,5,1293,first,4,
6,6,1623,first,0,
7,7,1792,other,,0.0
8,8,2137,other,,1.0
9,9,2308,other,,2.0
10,10,2639,first,3,
11,11,2809,other,,0.0
12,12,3139,first,1,
13,13,3316,other,,0.0
14,14,3664,other,,1.0
15,15,3839,other,,2.0
16,16,4191,first,3,
17,17,4366,first,0,
18,18,4707,other,,0.0
19,19,4878,first,1,
20,20,5208,other,,0.0
21,21,5372,other,,1.0
22,22,5724,first,2,
23,23,5896,first,0,
24,24,6271,other,,0.0
25,25,6473,other,,1.0
26,26,6868,first,2,
27,27,7058,other,,0.0
28,28,7445,other,,1.0
29,29,7632,other,,2.0
30,30,8027,first,3,
31,31,8214,first,0,
32,32,8604,other,,0.0
33,33,8789,other,,1.0
34,34,9163,other,,2.0
35,35,9354,other,,3.0
36,36,9731,other,,4.0
37,37,9910,other,,5.0
38,38,10256,first,6,
39,39,10439,other,,0.0
40,40,10804,first,1,
41,41,10983,other,,0.0
42,42,11428,first,1,
43,43,11613,first,0,
44,44,11959,other,,0.0
45,45,12142,other,,1.0
46,46,12492,other,,2.0
47,47,12678,other,,3.0
48,48,12930,other,,4.0
49,49,13111,other,,5.0
50,50,13470,other,,6.0
51,51,13648,first,7,
52,52,13983,other,,0.0
53,53,14153,first,1,
54,54,14507,other,,0.0
55,55,14680,first,1,
56,56,15009,other,,0.0
57,57,15175,other,,1.0
58,58,15509,first,2,
59,59,15676,other,,0.0
60,60,16007,first,1,
61,61,16171,other,,0.0
62,62,16488,other,,1.0
63,63,16654,other,,2.0
64,64,16976,first,3,
65,65,17131,other,,0.0
66,66,17448,first,1,
67,67,17608,other,,0.0
68,68,17915,first,1,
69,69,18072,other,,0.0
70,70,18395,other,,1.0
71,71,18555,other,,2.0
72,72,18807,first,3,
73,73,18981,other,,0.0
74,74,19307,other,,1.0
75,75,19471,other,,2.0
76,76,19809,first,3,
77,77,19977,first,0,
78,78,20303,other,,0.0
79,79,20461,other,,1.0
80,80,20791,other,,2.0
81,81,20945,other,,3.0
82,82,21267,first,4,
83,83,21425,other,,0.0
84,84,21725,other,,1.0
85,85,21885,other,,2.0
86,86,22189,other,,3.0
87,87,22350,other,,4.0
88,88,22678,other,,5.0
89,89,22867,other,,6.0
90,90,22975,other,,7.0
91,91,23269,other,,8.0
92,92,23470,first,9,
93,93,23875,other,,0.0
94,94,24069,first,1,
95,95,24454,first,0,
96,96,24639,other,,0.0
97,97,25000,first,1,
98,98,25186,other,,0.0
99,99,25580,other,,1.0
100,100,25760,first,2,
101,101,26128,first,0,
102,102,26304,other,,0.0
103,103,26679,first,1,
104,104,26863,other,,0.0
105,105,27231,other,,1.0
106,106,27409,first,2,
107,107,27770,other,,0.0
108,108,27954,other,,1.0
109,109,28326,other,,2.0
110,110,28492,first,3,
111,111,28845,first,0,
112,112,29011,other,,0.0
113,113,29349,other,,1.0
114,114,29530,other,,2.0
115,115,29905,first,3,
116,116,30078,other,,0.0
117,117,30505,other,,1.0
118,118,30674,other,,2.0
119,119,30932,other,,3.0
120,120,31109,other,,4.0
121,121,31461,other,,5.0
122,122,31628,other,,6.0
123,123,31977,other,,7.0
124,124,32147,other,,8.0
125,125,32477,other,,9.0
126,126,32635,other,,10.0
127,127,32978,other,,11.0
128,128,33142,other,,12.0
129,129,33469,first,13,
130,130,33629,other,,0.0
131,131,33946,other,,1.0
132,132,34102,other,,2.0
133,133,34443,first,3,
134,134,34600,first,0,
135,135,34915,other,,0.0
136,136,35071,other,,1.0
137,137,35381,other,,2.0
138,138,35538,other,,3.0
139,139,35862,other,,4.0
140,140,36017,other,,5.0
141,141,36337,other,,6.0
142,142,36494,other,,7.0
143,143,36809,other,,8.0
144,144,36962,first,9,
145,145,37279,other,,0.0
146,146,37435,first,1,
147,147,37758,other,,0.0
148,148,37912,first,1,
149,149,38230,first,0,
150,150,38388,other,,0.0
151,151,38700,other,,1.0
152,152,38860,other,,2.0
153,153,39193,other,,3.0
154,154,39346,other,,4.0
155,155,39673,other,,5.0
156,156,39821,other,,6.0
157,157,40138,other,,7.0
158,158,40301,first,8,
159,159,40614,other,,0.0
160,160,40763,first,1,
161,161,41074,other,,0.0
162,162,41230,other,,1.0
163,163,41544,other,,2.0
164,164,41699,other,,3.0
165,165,41942,other,,4.0
166,166,42095,other,,5.0
167,167,42411,other,,6.0
168,168,42558,other,,7.0
169,169,42871,other,,8.0
170,170,43021,other,,9.0
171,171,43322,other,,10.0
172,172,43473,other,,11.0
173,173,43779,first,12,
174,174,43926,other,,0.0
175,175,44224,other,,1.0
176,176,44381,other,,2.0
177,177,44707,first,3,
178,178,44862,first,0,
179,179,45169,other,,0.0
180,180,45325,other,,1.0
181,181,45463,other,,2.0
182,182,45617,other,,3.0
183,183,45943,other,,4.0
184,184,46110,first,5,
185,185,46476,first,0,
186,186,46654,other,,0.0
187,187,47022,first,1,
188,188,47195,other,,0.0
189,189,47538,first,1,
190,190,47707,other,,0.0
191,191,48079,first,1,
192,192,48244,other,,0.0
193,193,48608,first,1,
194,194,48784,first,0,
195,195,49054,other,,0.0
196,196,49224,other,,1.0
197,197,49564,other,,2.0
198,198,49729,first,3,
199,199,50058,first,0,
200,200,50222,other,,0.0
201,201,50609,other,,1.0
202,202,50771,other,,2.0
