,keystroke_idx,time,type,prev_keystrokes,keystrokes_since
0,0,300,first,0,
1,1,404,other,,1.0
2,2,506,other,,2.0
3,3,608,other,,3.0
4,4,831,other,,4.0
5,5,934,other,,5.0
6,6,1038,other,,6.0
7,7,1140,other,,7.0
8,8,1387,first,7,
9,9,1491,other,,0.0
10,10,1597,first,1,
11,11,1702,other,,0.0
12,12,1865,other,,1.0
13,13,1971,other,,2.0
14,14,2073,other,,3.0
15,15,2176,other,,4.0
16,16,2389,other,,5.0
17,17,2496,other,,6.0
18,18,2600,first,7,
19,19,2704,other,,0.0
20,20,2925,first,1,
21,21,3027,other,,0.0
22,22,3132,other,,1.0
23,23,3233,other,,2.0
24,24,3509,other,,3.0
25,25,3615,other,,4.0
26,26,3716,other,,5.0
27,27,3819,other,,6.0
28,28,3999,other,,7.0
29,29,4103,first,8,
30,30,4208,other,,0.0
31,31,4310,other,,1.0
32,32,4507,first,2,
33,33,4610,other,,0.0
34,34,4715,other,,1.0
35,35,4818,first,2,
36,36,4994,other,,0.0
37,37,5100,other,,1.0
38,38,5207,other,,2.0
39,39,5309,other,,3.0
40,40,5642,first,4,
41,41,5747,other,,0.0
42,42,5877,first,1,
43,43,5995,other,,0.0
44,44,6191,other,,1.0
45,45,6296,other,,2.0
46,46,6402,other,,3.0
47,47,6503,other,,4.0
48,48,6669,first,5,
49,49,6772,other,,0.0
50,50,6873,first,1,
51,51,6977,other,,0.0
52,52,7138,other,,1.0
53,53,7239,other,,2.0
54,54,7341,other,,3.0
55,55,7501,other,,4.0
56,56,7706,first,5,
57,57,7812,other,,0.0
58,58,7919,other,,1.0
59,59,8023,first,2,
60,60,8170,other,,0.0
61,61,8275,first,1,
62,62,8378,other,,0.0
63,63,8480,other,,1.0
64,64,8672,other,,2.0
65,65,8776,other,,3.0
66,66,8881,other,,4.0
67,67,8982,other,,5.0
68,68,9144,other,,6.0
69,69,9246,other,,7.0
70,70,9353,other,,8.0
71,71,9459,other,,9.0
72,72,9682,other,,10.0
73,73,9784,other,,11.0
74,74,9888,other,,12.0
75,75,9993,other,,13.0
76,76,10177,other,,14.0
77,77,10281,first,15,
78,78,10382,other,,0.0
79,79,10483,other,,1.0
80,80,10668,other,,2.0
81,81,10777,first,3,
82,82,10881,other,,0.0
83,83,10985,other,,1.0
84,84,11165,other,,2.0
85,85,11272,first,3,
86,86,11374,other,,0.0
87,87,11480,other,,1.0
88,88,11645,first,2,
89,89,11752,other,,0.0
90,90,11854,other,,1.0
91,91,11960,other,,2.0
92,92,12121,other,,3.0
93,93,12222,other,,4.0
94,94,12327,other,,5.0
95,95,12430,other,,6.0
96,96,12617,other,,7.0
97,97,12721,other,,8.0
98,98,12822,other,,9.0
99,99,12927,other,,10.0
100,100,13084,other,,11.0
101,101,13185,other,,12.0
102,102,13286,other,,13.0
103,103,13387,other,,14.0
104,104,13539,other,,15.0
105,105,13642,first,16,
106,106,13744,other,,0.0
107,107,13849,other,,1.0
108,108,14005,other,,2.0
109,109,14110,first,3,
110,110,14213,other,,0.0
111,111,14314,other,,1.0
112,112,14446,other,,2.0
113,113,14552,other,,3.0
114,114,14656,first,4,
115,115,14763,other,,0.0
116,116,14867,other,,1.0
117,117,14968,other,,2.0
118,118,15072,other,,3.0
119,119,15176,other,,4.0
120,120,15281,other,,5.0
121,121,15385,first,6,
122,122,15488,other,,0.0
123,123,15592,other,,1.0
124,124,15698,other,,2.0
125,125,15802,first,3,
126,126,15908,other,,0.0
127,127,16071,first,1,
128,128,16177,other,,0.0
129,129,16282,other,,1.0
130,130,16478,other,,2.0
131,131,16581,other,,3.0
132,132,16682,other,,4.0
133,133,16784,other,,5.0
134,134,16945,first,6,
135,135,17048,other,,0.0
136,136,17154,first,1,
137,137,17255,other,,0.0
138,138,17362,other,,1.0
139,139,17463,first,2,
140,140,17565,other,,0.0
141,141,17667,first,1,
142,142,17873,other,,0.0
143,143,17974,other,,1.0
144,144,18076,other,,2.0
145,145,18180,other,,3.0
146,146,18344,other,,4.0
147,147,18450,other,,5.0
148,148,18556,other,,6.0
149,149,18659,other,,7.0
150,150,18843,first,8,
151,151,18945,other,,0.0
152,152,19051,other,,1.0
153,153,19153,other,,2.0
154,154,19327,other,,3.0
155,155,19431,other,,4.0
156,156,19535,other,,5.0
157,157,19636,other,,6.0
158,158,19777,first,7,
159,159,19883,other,,0.0
160,160,19984,other,,1.0
161,161,20089,other,,2.0
162,162,20190,other,,3.0
163,163,20291,other,,4.0
164,164,20398,other,,5.0
165,165,20499,other,,6.0
166,166,20639,other,,7.0
167,167,20743,other,,8.0
168,168,20847,other,,9.0
169,169,20951,other,,10.0
170,170,21113,other,,11.0
171,171,21214,other,,12.0
172,172,21315,other,,13.0
173,173,21416,other,,14.0
174,174,21563,other,,15.0
175,175,21678,other,,16.0
176,176,21779,other,,17.0
177,177,21884,other,,18.0
178,178,22004,other,,19.0
179,179,22110,other,,20.0
180,180,22214,other,,21.0
181,181,22316,other,,22.0
182,182,22442,other,,23.0
183,183,22543,other,,24.0
184,184,22644,other,,25.0
