,keystroke_idx,time,type,prev_keystrokes,keystrokes_since
0,0,136,first,0,
1,1,242,other,,1.0
2,2,539,other,,2.0
3,3,649,other,,3.0
4,4,766,other,,4.0
5,5,877,other,,5.0
6,6,1203,other,,6.0
7,7,1312,first,6,
8,8,1425,other,,0.0
9,9,1546,first,1,
10,10,1893,other,,0.0
11,11,2096,first,1,
12,12,2207,other,,0.0
13,13,2540,other,,1.0
14,14,2744,first,2,
15,15,2851,other,,0.0
16,16,3183,first,1,
17,17,3296,other,,0.0
18,18,3403,other,,1.0
19,19,3518,other,,2.0
20,20,3828,first,3,
21,21,4021,first,0,
22,22,4414,other,,0.0
23,23,4614,other,,1.0
24,24,4726,other,,2.0
25,25,5051,first,3,
26,26,5153,first,0,
27,27,5255,other,,0.0
28,28,5357,other,,1.0
29,29,5671,first,2,
30,30,5880,other,,0.0
31,31,5987,other,,1.0
32,32,6291,other,,2.0
33,33,6398,other,,3.0
34,34,6603,other,,4.0
35,35,6928,other,,5.0
36,36,7124,other,,6.0
37,37,7336,other,,7.0
38,38,7634,first,8,
39,39,7736,other,,0.0
40,40,7837,other,,1.0
41,41,7940,first,2,
42,42,8229,other,,0.0
43,43,8421,other,,1.0
44,44,8523,first,2,
45,45,8816,first,0,
46,46,9015,other,,0.0
47,47,9121,other,,1.0
48,48,9406,other,,2.0
49,49,9598,other,,3.0
50,50,10000,other,,4.0
51,51,10101,other,,5.0
52,52,10203,other,,6.0
53,53,10304,other,,7.0
54,54,10583,other,,8.0
55,55,10772,first,9,
56,56,10873,other,,0.0
57,57,11131,other,,1.0
58,58,11319,first,2,
59,59,11705,other,,0.0
60,60,11880,first,1,
61,61,11982,other,,0.0
62,62,12260,other,,1.0
63,63,12452,other,,2.0
64,64,12801,first,3,
65,65,12989,first,0,
66,66,13095,other,,0.0
67,67,13351,first,1,
68,68,13527,other,,0.0
69,69,13875,other,,1.0
70,70,14054,other,,2.0
71,71,14162,first,3,
72,72,14358,first,0,
73,73,14536,other,,0.0
74,74,14815,first,1,
75,75,14987,first,0,
76,76,15274,other,,0.0
77,77,15453,other,,1.0
78,78,15741,other,,2.0
79,79,15929,first,3,
80,80,16030,other,,0.0
81,81,16244,other,,1.0
82,82,16412,other,,2.0
83,83,16710,other,,3.0
84,84,16877,other,,4.0
85,85,17252,first,5,
86,86,17432,other,,0.0
87,87,17777,other,,1.0
88,88,17970,other,,2.0
89,89,18310,first,3,
90,90,18491,other,,0.0
91,91,18813,other,,1.0
92,92,19000,other,,2.0
93,93,19363,other,,3.0
94,94,19548,other,,4.0
95,95,19862,other,,5.0
96,96,20053,other,,6.0
97,97,20154,other,,7.0
98,98,20387,other,,8.0
99,99,20577,first,9,
100,100,20684,other,,0.0
101,101,20900,other,,1.0
102,102,21095,other,,2.0
103,103,21198,other,,3.0
