,keystroke_idx,time,type,prev_keystrokes,keystrokes_since
0,0,147,first,0,
1,1,275,other,,1.0
2,2,390,other,,2.0
3,3,918,other,,3.0
4,4,1040,other,,4.0
5,5,1154,other,,5.0
6,6,1273,other,,6.0
7,7,1710,first,6,
8,8,1850,other,,0.0
9,9,1969,other,,1.0
10,10,2081,other,,2.0
11,11,2509,other,,3.0
12,12,2635,first,4,
13,13,2737,other,,0.0
14,14,2860,first,1,
15,15,3360,other,,0.0
16,16,3461,other,,1.0
17,17,3574,other,,2.0
18,18,3683,other,,3.0
19,19,4152,first,4,
20,20,4257,other,,0.0
21,21,4365,first,1,
22,22,5142,first,0,
23,23,5261,other,,0.0
24,24,5374,other,,1.0
25,25,5920,first,2,
26,26,6037,other,,0.0
27,27,6151,other,,1.0
28,28,6255,other,,2.0
29,29,6594,first,3,
30,30,6725,other,,0.0
31,31,6838,first,1,
32,32,6949,other,,0.0
33,33,7256,other,,1.0
34,34,7380,other,,2.0
35,35,7571,other,,3.0
36,36,7859,first,4,
37,37,7975,first,0,
38,38,8104,other,,0.0
39,39,8206,first,1,
40,40,8428,other,,0.0
41,41,8540,other,,1.0
42,42,8653,other,,2.0
43,43,8761,other,,3.0
44,44,9039,other,,4.0
45,45,9155,other,,5.0
46,46,9260,other,,6.0
47,47,9365,other,,7.0
48,48,9623,other,,8.0
49,49,9736,other,,9.0
50,50,9866,other,,10.0
51,51,9975,other,,11.0
52,52,10208,other,,12.0
53,53,10328,first,13,
54,54,10520,other,,0.0
55,55,10850,first,1,
56,56,10971,other,,0.0
57,57,11090,other,,1.0
58,58,11274,first,2,
59,59,11568,first,0,
60,60,11733,other,,0.0
61,61,11864,other,,1.0
62,62,11974,other,,2.0
63,63,12347,other,,3.0
64,64,12561,other,,4.0
65,65,12766,other,,5.0
66,66,13064,other,,6.0
67,67,13179,other,,7.0
68,68,13294,other,,8.0
69,69,13408,other,,9.0
70,70,13720,first,10,
71,71,13856,other,,0.0
72,72,13973,other,,1.0
