,keystroke_idx,time,type,prev_keystrokes,keystrokes_since
0,0,166,first,0,
1,1,546,other,,1.0
2,2,684,other,,2.0
3,3,1070,other,,3.0
4,4,1199,other,,4.0
5,5,1581,first,4,
6,6,1705,other,,0.0
7,7,2080,other,,1.0
8,8,2208,other,,2.0
9,9,2620,first,3,
10,10,2746,other,,0.0
11,11,3130,first,1,
12,12,3250,other,,0.0
13,13,3638,other,,1.0
14,14,3762,other,,2.0
15,15,4157,first,3,
16,16,4284,other,,0.0
17,17,4697,first,1,
18,18,4845,first,0,
19,19,5263,other,,0.0
20,20,5387,other,,1.0
21,21,5780,first,2,
22,22,5902,other,,0.0
23,23,6339,other,,1.0
24,24,6463,other,,2.0
25,25,6845,first,3,
26,26,6970,other,,0.0
27,27,7433,other,,1.0
28,28,7558,other,,2.0
29,29,7933,first,3,
30,30,8051,first,0,
31,31,8440,first,0,
32,32,8640,other,,0.0
33,33,8945,other,,1.0
34,34,9064,other,,2.0
35,35,9504,other,,3.0
36,36,9642,other,,4.0
37,37,9930,other,,5.0
38,38,10049,other,,6.0
39,39,10450,first,7,
40,40,10582,other,,0.0
41,41,10975,first,1,
42,42,11106,other,,0.0
43,43,11584,first,1,
44,44,11714,other,,0.0
45,45,12132,other,,1.0
46,46,12264,other,,2.0
47,47,12678,other,,3.0
48,48,12806,other,,4.0
49,49,13212,other,,5.0
50,50,13334,other,,6.0
51,51,13716,first,7,
52,52,13843,other,,0.0
53,53,14301,first,1,
54,54,14424,other,,0.0
55,55,14740,first,1,
56,56,14864,other,,0.0
57,57,15339,other,,1.0
58,58,15473,first,2,
59,59,15819,first,0,
60,60,15946,other,,0.0
61,61,16328,first,1,
62,62,16453,other,,0.0
63,63,16840,other,,1.0
64,64,16963,first,2,
65,65,17350,first,0,
66,66,17482,first,0,
67,67,17873,first,0,
68,68,18064,other,,0.0
69,69,18369,other,,1.0
70,70,18493,other,,2.0
71,71,18892,first,3,
72,72,19018,other,,0.0
73,73,19419,other,,1.0
74,74,19560,other,,2.0
75,75,19946,first,3,
76,76,20075,first,0,
77,77,20464,other,,0.0
78,78,20591,other,,1.0
79,79,20976,other,,2.0
80,80,21095,first,3,
81,81,21472,other,,0.0
82,82,21595,other,,1.0
83,83,21989,other,,2.0
84,84,22119,other,,3.0
85,85,22584,other,,4.0
86,86,22713,other,,5.0
87,87,23031,other,,6.0
88,88,23163,other,,7.0
89,89,23553,first,8,
90,90,23684,other,,0.0
91,91,24079,first,1,
92,92,24211,other,,0.0
93,93,24661,first,1,
94,94,24790,first,0,
95,95,25093,other,,0.0
96,96,25220,other,,1.0
97,97,25633,first,2,
98,98,25757,other,,0.0
99,99,26220,first,1,
100,100,26344,other,,0.0
101,101,26667,first,1,
102,102,26793,other,,0.0
103,103,27176,other,,1.0
104,104,27296,other,,2.0
105,105,27716,first,3,
106,106,27846,other,,0.0
107,107,28248,other,,1.0
108,108,28393,other,,2.0
109,109,28781,first,3,
110,110,28905,other,,0.0
111,111,29284,other,,1.0
112,112,29405,other,,2.0
113,113,29781,first,3,
114,114,29911,other,,0.0
115,115,30294,other,,1.0
116,116,30428,other,,2.0
117,117,30832,other,,3.0
118,118,30965,other,,4.0
119,119,31360,other,,5.0
120,120,31494,other,,6.0
121,121,31898,other,,7.0
122,122,32022,other,,8.0
123,123,32435,other,,9.0
124,124,32552,other,,10.0
125,125,32680,other,,11.0
126,126,32992,other,,12.0
127,127,33112,other,,13.0
128,128,33526,first,14,
129,129,33657,other,,0.0
130,130,34088,other,,1.0
131,131,34200,other,,2.0
132,132,34589,first,3,
133,133,34797,other,,0.0
134,134,35116,other,,1.0
135,135,35252,other,,2.0
136,136,35647,other,,3.0
137,137,35852,other,,4.0
138,138,36226,other,,5.0
139,139,36357,other,,6.0
140,140,36759,other,,7.0
141,141,36888,first,8,
142,142,37284,other,,0.0
143,143,37407,first,1,
144,144,37774,other,,0.0
145,145,37899,first,1,
146,146,38245,first,0,
147,147,38367,other,,0.0
148,148,38655,other,,1.0
149,149,38780,other,,2.0
150,150,39093,other,,3.0
151,151,39215,other,,4.0
152,152,39626,other,,5.0
153,153,39761,other,,6.0
154,154,40187,other,,7.0
155,155,40313,first,8,
156,156,40708,first,0,
157,157,40832,other,,0.0
158,158,41216,other,,1.0
159,159,41348,other,,2.0
160,160,41762,other,,3.0
161,161,41893,other,,4.0
162,162,42299,other,,5.0
163,163,42439,other,,6.0
164,164,42836,other,,7.0
165,165,42963,other,,8.0
166,166,43358,other,,9.0
167,167,43497,other,,10.0
168,168,43921,first,11,
169,169,44062,other,,0.0
170,170,44462,other,,1.0
171,171,44596,first,2,
172,172,45055,first,0,
173,173,45193,other,,0.0
174,174,45606,other,,1.0
175,175,45738,other,,2.0
176,176,46128,first,3,
177,177,46261,other,,0.0
178,178,46642,first,1,
179,179,46763,first,0,
