,keystroke_idx,time,type,prev_keystrokes,keystrokes_since
0,0,157,first,0,
1,1,333,other,,1.0
2,2,700,other,,2.0
3,3,871,other,,3.0
4,4,1254,first,3,
5,5,1444,first,0,
6,6,1822,other,,0.0
7,7,1993,other,,1.0
8,8,2374,other,,2.0
9,9,2557,other,,3.0
10,10,2919,first,4,
11,11,3097,other,,0.0
12,12,3454,first,1,
13,13,3629,other,,0.0
14,14,3968,first,1,
15,15,4140,other,,0.0
16,16,4486,first,1,
17,17,4654,other,,0.0
18,18,4993,first,1,
19,19,5159,other,,0.0
20,20,5487,first,1,
21,21,5646,other,,0.0
22,22,5991,other,,1.0
23,23,6158,first,2,
24,24,6495,first,0,
25,25,6665,first,0,
26,26,7008,other,,0.0
27,27,7173,other,,1.0
28,28,7507,other,,2.0
29,29,7675,other,,3.0
30,30,7999,other,,4.0
31,31,8156,other,,5.0
32,32,8481,other,,6.0
33,33,8633,other,,7.0
34,34,8939,first,8,
35,35,9093,other,,0.0
36,36,9423,first,1,
37,37,9575,other,,0.0
38,38,9944,first,1,
39,39,10097,first,0,
40,40,10421,other,,0.0
41,41,10580,other,,1.0
42,42,10899,other,,2.0
43,43,11056,other,,3.0
44,44,11359,other,,4.0
45,45,11505,other,,5.0
46,46,11774,other,,6.0
47,47,11926,other,,7.0
48,48,12177,first,8,
49,49,12321,other,,0.0
50,50,12633,first,1,
51,51,12810,other,,0.0
52,52,13150,first,1,
53,53,13323,other,,0.0
54,54,13646,other,,1.0
55,55,13817,other,,2.0
56,56,14157,first,3,
57,57,14325,first,0,
58,58,14627,first,0,
59,59,14793,other,,0.0
60,60,15109,other,,1.0
61,61,15269,other,,2.0
62,62,15562,first,3,
63,63,15718,first,0,
64,64,16018,first,0,
65,65,16172,first,0,
66,66,16468,other,,0.0
67,67,16621,other,,1.0
68,68,16876,other,,2.0
69,69,17036,other,,3.0
70,70,17341,first,4,
71,71,17495,other,,0.0
72,72,17848,other,,1.0
73,73,18020,other,,2.0
74,74,18344,first,3,
75,75,18511,first,0,
76,76,18828,other,,0.0
77,77,18993,other,,1.0
78,78,19316,other,,2.0
79,79,19470,first,3,
80,80,19620,other,,0.0
81,81,19927,other,,1.0
82,82,20071,other,,2.0
83,83,20373,other,,3.0
84,84,20522,other,,4.0
85,85,20818,other,,5.0
86,86,20966,other,,6.0
87,87,21279,other,,7.0
88,88,21426,other,,8.0
89,89,21725,other,,9.0
90,90,21871,first,10,
91,91,22166,other,,0.0
92,92,22309,other,,1.0
93,93,22599,first,2,
94,94,22749,other,,0.0
95,95,23052,first,1,
96,96,23197,first,0,
97,97,23481,other,,0.0
98,98,23628,other,,1.0
99,99,23912,other,,2.0
100,100,24057,other,,3.0
101,101,24340,first,4,
102,102,24483,other,,0.0
103,103,24784,first,1,
104,104,24929,first,0,
105,105,25234,other,,0.0
106,106,25371,other,,1.0
107,107,25634,other,,2.0
108,108,25765,other,,3.0
109,109,26038,first,4,
110,110,26178,other,,0.0
111,111,26444,other,,1.0
112,112,26578,other,,2.0
113,113,26837,other,,3.0
114,114,26974,first,4,
115,115,27238,first,0,
116,116,27371,other,,0.0
117,117,27615,other,,1.0
118,118,27752,other,,2.0
119,119,27993,other,,3.0
120,120,28126,other,,4.0
121,121,28363,first,5,
122,122,28510,other,,0.0
123,123,28732,other,,1.0
124,124,28871,other,,2.0
125,125,29197,other,,3.0
126,126,29371,other,,4.0
127,127,29708,other,,5.0
128,128,29879,other,,6.0
129,129,30228,other,,7.0
130,130,30404,other,,8.0
131,131,30582,other,,9.0
132,132,30836,other,,10.0
133,133,31003,other,,11.0
134,134,31323,other,,12.0
135,135,31486,other,,13.0
136,136,31802,first,14,
137,137,31956,first,0,
138,138,32260,other,,0.0
139,139,32417,other,,1.0
140,140,32714,other,,2.0
141,141,32862,first,3,
142,142,33155,first,0,
143,143,33300,other,,0.0
144,144,33604,other,,1.0
145,145,33746,other,,2.0
146,146,34036,other,,3.0
147,147,34177,other,,4.0
148,148,34466,other,,5.0
149,149,34606,other,,6.0
150,150,34892,other,,7.0
151,151,35038,other,,8.0
152,152,35312,other,,9.0
153,153,35459,first,10,
154,154,35746,other,,0.0
155,155,35915,first,1,
156,156,36250,other,,0.0
157,157,36399,first,1,
158,158,36691,first,0,
159,159,36834,other,,0.0
160,160,37147,other,,1.0
161,161,37298,other,,2.0
162,162,37599,other,,3.0
163,163,37750,other,,4.0
164,164,38045,other,,5.0
165,165,38193,other,,6.0
166,166,38480,other,,7.0
167,167,38623,other,,8.0
168,168,38908,first,9,
169,169,39051,other,,0.0
170,170,39326,first,1,
171,171,39468,other,,0.0
172,172,39752,other,,1.0
173,173,39911,other,,2.0
174,174,40228,other,,3.0
175,175,40384,other,,4.0
176,176,40686,other,,5.0
177,177,40840,other,,6.0
178,178,41128,other,,7.0
179,179,41277,other,,8.0
180,180,41581,other,,9.0
181,181,41736,other,,10.0
182,182,42041,other,,11.0
183,183,42261,first,12,
184,184,42593,other,,0.0
185,185,42765,other,,1.0
186,186,43066,first,2,
187,187,43217,other,,0.0
188,188,43475,first,1,
189,189,43635,other,,0.0
