,keystroke_idx,time,type,prev_keystrokes,keystrokes_since
0,0,167,first,0,
1,1,459,other,,1.0
2,2,561,other,,2.0
3,3,671,other,,3.0
4,4,784,other,,4.0
5,5,1141,other,,5.0
6,6,1246,other,,6.0
7,7,1365,first,6,
8,8,1481,other,,0.0
9,9,1777,first,1,
10,10,2021,other,,0.0
11,11,2132,other,,1.0
12,12,2461,other,,2.0
13,13,2577,first,3,
14,14,2690,other,,0.0
15,15,2812,other,,1.0
16,16,3186,first,2,
17,17,3295,other,,0.0
18,18,3406,other,,1.0
19,19,3521,other,,2.0
20,20,3871,other,,3.0
21,21,3977,other,,4.0
22,22,4087,other,,5.0
23,23,4199,first,6,
24,24,4513,first,0,
25,25,4621,other,,0.0
26,26,4736,first,1,
27,27,4852,other,,0.0
28,28,5153,other,,1.0
29,29,5383,other,,2.0
30,30,5494,other,,3.0
31,31,5826,first,4,
32,32,5934,other,,0.0
33,33,6049,other,,1.0
34,34,6164,other,,2.0
35,35,6617,first,3,
36,36,6724,other,,0.0
37,37,6836,first,1,
38,38,7160,other,,0.0
39,39,7270,other,,1.0
40,40,7384,other,,2.0
41,41,7497,other,,3.0
42,42,7853,first,4,
43,43,8080,first,0,
44,44,8194,first,0,
45,45,8528,other,,0.0
46,46,8633,other,,1.0
47,47,8746,other,,2.0
48,48,9197,other,,3.0
49,49,9307,other,,4.0
50,50,9423,other,,5.0
51,51,9535,other,,6.0
52,52,10016,other,,7.0
53,53,10122,other,,8.0
54,54,10238,other,,9.0
55,55,10534,first,10,
56,56,10648,other,,0.0
57,57,10759,first,1,
58,58,10873,other,,0.0
59,59,11157,other,,1.0
60,60,11272,first,2,
61,61,11382,other,,0.0
62,62,11497,other,,1.0
63,63,11904,first,2,
64,64,12016,other,,0.0
65,65,12122,other,,1.0
66,66,12444,other,,2.0
67,67,12547,other,,3.0
68,68,12667,other,,4.0
69,69,12778,other,,5.0
70,70,13095,other,,6.0
71,71,13204,other,,7.0
72,72,13317,other,,8.0
73,73,13432,other,,9.0
74,74,13774,first,10,
75,75,13884,other,,0.0
76,76,13991,other,,1.0
77,77,14412,first,2,
78,78,14522,other,,0.0
79,79,14757,first,1,
80,80,15056,other,,0.0
81,81,15174,other,,1.0
82,82,15395,first,2,
83,83,15665,other,,0.0
84,84,15779,first,1,
85,85,15891,other,,0.0
86,86,16013,first,1,
87,87,16541,other,,0.0
88,88,16651,other,,1.0
89,89,16954,first,2,
90,90,17066,other,,0.0
91,91,17175,first,1,
92,92,17285,other,,0.0
93,93,17692,first,1,
94,94,18217,other,,0.0
95,95,18321,other,,1.0
96,96,18430,other,,2.0
97,97,18542,other,,3.0
98,98,18789,first,4,
99,99,19012,other,,0.0
100,100,19123,other,,1.0
101,101,19419,other,,2.0
102,102,19530,other,,3.0
103,103,19638,other,,4.0
104,104,19755,first,5,
105,105,20040,first,0,
106,106,20152,other,,0.0
107,107,20268,other,,1.0
108,108,20378,other,,2.0
109,109,20784,other,,3.0
110,110,21381,first,4,
111,111,21489,other,,0.0
112,112,21601,other,,1.0
113,113,21874,other,,2.0
114,114,21982,other,,3.0
115,115,22091,other,,4.0
116,116,22204,other,,5.0
117,117,22459,other,,6.0
118,118,22563,other,,7.0
119,119,22676,other,,8.0
120,120,22789,other,,9.0
121,121,23147,other,,10.0
122,122,23260,other,,11.0
123,123,23369,first,12,
124,124,23708,other,,0.0
125,125,23815,other,,1.0
126,126,23934,other,,2.0
127,127,24182,first,3,
128,128,24291,other,,0.0
129,129,24399,other,,1.0
130,130,24510,first,2,
131,131,24896,first,0,
132,132,25005,other,,0.0
133,133,25112,other,,1.0
134,134,25380,other,,2.0
135,135,25492,other,,3.0
136,136,25601,first,4,
137,137,25709,other,,0.0
138,138,25935,first,1,
139,139,26038,other,,0.0
140,140,26146,first,1,
141,141,26255,other,,0.0
142,142,26501,first,1,
143,143,26722,other,,0.0
144,144,27062,other,,1.0
145,145,27165,other,,2.0
146,146,27285,other,,3.0
147,147,27388,other,,4.0
148,148,27656,first,5,
149,149,27762,other,,0.0
150,150,27874,other,,1.0
151,151,28213,other,,2.0
152,152,28318,other,,3.0
153,153,28429,first,4,
154,154,28538,other,,0.0
155,155,28791,first,1,
156,156,28898,other,,0.0
157,157,29005,other,,1.0
158,158,29378,other,,2.0
159,159,29486,other,,3.0
160,160,29597,other,,4.0
161,161,29959,first,5,
162,162,30062,other,,0.0
163,163,30280,other,,1.0
164,164,30541,other,,2.0
165,165,30652,other,,3.0
166,166,30754,other,,4.0
167,167,30861,other,,5.0
168,168,31130,other,,6.0
169,169,31245,other,,7.0
170,170,31787,other,,8.0
171,171,31895,other,,9.0
172,172,32219,other,,10.0
173,173,32324,other,,11.0
174,174,32434,other,,12.0
175,175,32543,other,,13.0
176,176,32757,other,,14.0
177,177,32870,other,,15.0
178,178,32978,other,,16.0
179,179,33094,other,,17.0
180,180,33337,first,18,
181,181,33443,first,0,
182,182,33553,other,,0.0
183,183,33662,other,,1.0
184,184,34025,other,,2.0
185,185,34242,other,,3.0
186,186,34475,first,4,
187,187,34577,first,0,
188,188,34684,other,,0.0
189,189,34798,other,,1.0
190,190,35014,other,,2.0
191,191,35115,other,,3.0
192,192,35221,other,,4.0
193,193,35335,other,,5.0
194,194,35685,other,,6.0
195,195,35794,other,,7.0
196,196,35903,other,,8.0
197,197,36131,other,,9.0
198,198,36241,other,,10.0
199,199,36350,other,,11.0
200,200,36463,other,,12.0
201,201,36698,other,,13.0
202,202,36910,first,14,
203,203,37021,other,,0.0
204,204,37220,other,,1.0
205,205,37328,other,,2.0
206,206,37437,first,3,
207,207,37541,other,,0.0
208,208,37786,other,,1.0
209,209,37889,first,2,
210,210,37991,other,,0.0
211,211,38105,other,,1.0
212,212,38369,first,2,
213,213,38487,other,,0.0
214,214,38696,other,,1.0
215,215,38936,other,,2.0
216,216,39043,other,,3.0
217,217,39149,other,,4.0
218,218,39262,other,,5.0
219,219,39495,other,,6.0
220,220,39610,other,,7.0
221,221,39722,other,,8.0
222,222,40068,other,,9.0
223,223,40175,other,,10.0
224,224,40279,first,11,
225,225,40389,other,,0.0
226,226,40616,other,,1.0
227,227,40722,first,2,
228,228,40826,other,,0.0
229,229,40935,other,,1.0
230,230,41188,other,,2.0
231,231,41298,other,,3.0
232,232,41410,other,,4.0
233,233,41519,other,,5.0
234,234,41776,other,,6.0
235,235,41881,other,,7.0
236,236,42325,other,,8.0
237,237,42440,other,,9.0
238,238,42542,other,,10.0
239,239,42660,other,,11.0
240,240,42877,other,,12.0
241,241,43089,other,,13.0
242,242,43204,other,,14.0
243,243,43415,other,,15.0
244,244,43530,other,,16.0
245,245,43987,first,17,
246,246,44094,other,,0.0
247,247,44205,other,,1.0
248,248,44308,other,,2.0
249,249,44562,first,3,
250,250,44766,other,,0.0
251,251,44869,first,1,
252,252,45205,other,,0.0
253,253,45310,other,,1.0
254,254,45418,other,,2.0
255,255,45682,other,,3.0
256,256,45787,other,,4.0
257,257,45895,other,,5.0
258,258,46246,first,6,
259,259,46451,first,0,
260,260,46553,other,,0.0
261,261,46764,first,1,
262,262,46868,other,,0.0
263,263,46969,other,,1.0
264,264,47083,other,,2.0
265,265,47315,other,,3.0
266,266,47418,other,,4.0
267,267,47623,first,5,
268,268,47965,first,0,
269,269,48070,other,,0.0
270,270,48171,other,,1.0
271,271,48449,other,,2.0
272,272,48650,first,3,
273,273,48981,first,0,
274,274,49182,other,,0.0
275,275,49522,other,,1.0
276,276,49629,other,,2.0
277,277,49836,first,3,
278,278,50108,first,0,
279,279,50214,other,,0.0
280,280,50319,other,,1.0
281,281,50426,other,,2.0
282,282,50795,other,,3.0
283,283,50903,other,,4.0
284,284,51007,other,,5.0
285,285,51264,other,,6.0
286,286,51467,other,,7.0
287,287,51578,other,,8.0
288,288,51840,other,,9.0
289,289,51941,other,,10.0
290,290,52045,other,,11.0
291,291,52155,other,,12.0
292,292,52501,first,13,
293,293,52613,other,,0.0
294,294,52718,other,,1.0
295,295,52934,first,2,
296,296,53248,other,,0.0
297,297,53482,other,,1.0
298,298,53791,other,,2.0
299,299,54045,other,,3.0
300,300,54358,other,,4.0
301,301,54629,other,,5.0
302,302,54836,other,,6.0
303,303,55163,other,,7.0
304,304,55366,other,,8.0
305,305,55469,other,,9.0
306,306,55763,other,,10.0
307,307,55966,other,,11.0
308,308,56073,first,12,
309,309,56310,other,,0.0
310,310,56414,other,,1.0
311,311,56624,first,2,
312,312,57010,other,,0.0
313,313,57119,first,1,
314,314,57224,other,,0.0
315,315,57443,other,,1.0
316,316,57648,other,,2.0
317,317,57761,other,,3.0
318,318,57996,first,4,
319,319,58101,other,,0.0
320,320,58216,other,,1.0
321,321,58599,first,2,
322,322,58701,other,,0.0
323,323,58907,other,,1.0
324,324,59153,other,,2.0
325,325,59349,other,,3.0
326,326,59454,first,4,
327,327,59741,first,0,
328,328,59940,first,0,
329,329,60045,other,,0.0
330,330,60295,first,1,
331,331,60398,other,,0.0
332,332,60846,other,,1.0
333,333,60959,other,,2.0
334,334,61162,other,,3.0
335,335,61389,first,4,
336,336,61587,other,,0.0
337,337,61941,other,,1.0
338,338,62043,other,,2.0
339,339,62145,other,,3.0
340,340,62248,first,4,
341,341,62544,first,0,
342,342,62748,other,,0.0
343,343,62850,other,,1.0
344,344,63123,other,,2.0
345,345,63318,other,,3.0
346,346,63789,first,4,
347,347,64255,other,,0.0
348,348,64452,other,,1.0
349,349,64553,other,,2.0
350,350,64813,other,,3.0
351,351,64917,other,,4.0
352,352,65021,other,,5.0
353,353,65370,other,,6.0
354,354,65474,other,,7.0
355,355,65576,other,,8.0
356,356,65955,other,,9.0
357,357,66158,other,,10.0
358,358,66259,other,,11.0
359,359,66648,first,12,
360,360,66848,other,,0.0
361,361,67141,first,1,
362,362,67339,first,0,
363,363,67679,other,,0.0
364,364,67877,other,,1.0
365,365,67978,other,,2.0
366,366,68228,other,,3.0
367,367,68428,other,,4.0
368,368,68873,first,5,
369,369,69075,other,,0.0
370,370,69444,first,1,
371,371,69641,other,,0.0
372,372,69884,other,,1.0
373,373,69985,other,,2.0
374,374,70189,first,3,
375,375,70542,first,0,
376,376,70996,other,,0.0
377,377,71193,other,,1.0
378,378,71654,other,,2.0
379,379,72072,first,3,
380,380,72264,other,,0.0
381,381,72637,first,1,
382,382,72837,other,,0.0
383,383,73300,other,,1.0
384,384,73496,other,,2.0
385,385,73748,other,,3.0
386,386,73946,other,,4.0
387,387,74293,first,5,
388,388,74932,first,0,
389,389,75127,other,,0.0
390,390,75361,first,1,
391,391,75466,other,,0.0
392,392,75667,first,1,
393,393,75913,other,,0.0
394,394,76017,other,,1.0
395,395,76204,other,,2.0
396,396,76454,other,,3.0
397,397,76645,other,,4.0
