,keystroke_idx,time,type,prev_keystrokes,keystrokes_since
0,0,81,first,0,
1,1,189,other,,1.0
2,2,625,other,,2.0
3,3,747,other,,3.0
4,4,860,other,,4.0
5,5,968,other,,5.0
6,6,1373,first,5,
7,7,1489,other,,0.0
8,8,1597,first,1,
9,9,1720,other,,0.0
10,10,2240,other,,1.0
11,11,2351,other,,2.0
12,12,2472,other,,3.0
13,13,2591,first,4,
14,14,3076,first,0,
15,15,3207,other,,0.0
16,16,3357,other,,1.0
17,17,3459,other,,2.0
18,18,4032,other,,3.0
19,19,4165,first,4,
20,20,4291,other,,0.0
21,21,4414,first,1,
22,22,5106,first,0,
23,23,5229,other,,0.0
24,24,5362,other,,1.0
25,25,5486,other,,2.0
26,26,6235,first,3,
27,27,6373,other,,0.0
28,28,6490,other,,1.0
29,29,6614,first,2,
30,30,7277,first,0,
31,31,7419,other,,0.0
32,32,7548,other,,1.0
33,33,7690,first,2,
34,34,8388,first,0,
35,35,8503,other,,0.0
36,36,8625,other,,1.0
37,37,8734,other,,2.0
38,38,9339,other,,3.0
39,39,9464,other,,4.0
40,40,9578,other,,5.0
41,41,9689,other,,6.0
42,42,10297,first,7,
43,43,10410,other,,0.0
44,44,10556,other,,1.0
45,45,10670,other,,2.0
46,46,11308,first,3,
47,47,11428,other,,0.0
48,48,11547,first,1,
49,49,11673,other,,0.0
50,50,12506,other,,1.0
51,51,12625,other,,2.0
52,52,12736,other,,3.0
53,53,12847,other,,4.0
54,54,13600,first,5,
55,55,13718,other,,0.0
56,56,13833,other,,1.0
57,57,13948,other,,2.0
58,58,14575,first,3,
59,59,14690,first,0,
60,60,14821,other,,0.0
61,61,14937,other,,1.0
62,62,15473,first,2,
63,63,15609,other,,0.0
64,64,15756,first,1,
65,65,15902,other,,0.0
66,66,16381,first,1,
67,67,16531,other,,0.0
68,68,16675,other,,1.0
69,69,16804,other,,2.0
70,70,17354,first,3,
71,71,17509,first,0,
72,72,17645,other,,0.0
73,73,17800,first,1,
74,74,18453,other,,0.0
75,75,18576,other,,1.0
76,76,18710,first,2,
77,77,18843,other,,0.0
78,78,19572,other,,1.0
79,79,19694,other,,2.0
80,80,19851,first,3,
81,81,19956,other,,0.0
82,82,20426,first,1,
83,83,20532,other,,0.0
84,84,20759,other,,1.0
85,85,21129,first,2,
86,86,21409,other,,0.0
87,87,21520,other,,1.0
88,88,21644,other,,2.0
89,89,22161,other,,3.0
90,90,22279,other,,4.0
91,91,22398,other,,5.0
92,92,22501,other,,6.0
93,93,23124,other,,7.0
94,94,23273,other,,8.0
95,95,23417,first,9,
96,96,23543,other,,0.0
97,97,24210,first,1,
98,98,24341,other,,0.0
99,99,24456,first,1,
100,100,24570,other,,0.0
101,101,25174,first,1,
102,102,25309,other,,0.0
103,103,25429,other,,1.0
104,104,25541,other,,2.0
105,105,26079,first,3,
106,106,26208,first,0,
107,107,26342,other,,0.0
108,108,26465,first,1,
109,109,27253,other,,0.0
110,110,27400,first,1,
111,111,27522,other,,0.0
112,112,27647,other,,1.0
113,113,28291,other,,2.0
114,114,28430,first,3,
115,115,28537,other,,0.0
116,116,28656,other,,1.0
117,117,29501,first,2,
118,118,29624,other,,0.0
119,119,29780,first,1,
120,120,29895,other,,0.0
121,121,30607,other,,1.0
122,122,30730,other,,2.0
123,123,30842,other,,3.0
124,124,30956,other,,4.0
125,125,31798,other,,5.0
126,126,31928,other,,6.0
127,127,32046,other,,7.0
128,128,32192,other,,8.0
129,129,32742,other,,9.0
130,130,32855,other,,10.0
131,131,32963,other,,11.0
132,132,33105,other,,12.0
133,133,33719,first,13,
134,134,33839,other,,0.0
135,135,33945,other,,1.0
136,136,34990,first,2,
137,137,35111,other,,0.0
138,138,35262,other,,1.0
139,139,35394,other,,2.0
140,140,36266,other,,3.0
141,141,36380,other,,4.0
142,142,36541,other,,5.0
143,143,36667,other,,6.0
144,144,37714,first,7,
145,145,37832,other,,0.0
146,146,37948,first,1,
147,147,38066,other,,0.0
148,148,38987,first,1,
149,149,39091,other,,0.0
150,150,39196,other,,1.0
151,151,40275,first,2,
152,152,40376,other,,0.0
153,153,40485,other,,1.0
154,154,41104,first,2,
155,155,41230,other,,0.0
156,156,41472,other,,1.0
157,157,42012,other,,2.0
158,158,42115,other,,3.0
159,159,42228,other,,4.0
160,160,42334,other,,5.0
161,161,42770,other,,6.0
162,162,42882,other,,7.0
163,163,43011,other,,8.0
164,164,43114,other,,9.0
165,165,43651,other,,10.0
166,166,43769,other,,11.0
167,167,43871,first,12,
168,168,43983,other,,0.0
169,169,44767,first,1,
170,170,44882,first,0,
171,171,44993,other,,0.0
172,172,45106,other,,1.0
173,173,45683,other,,2.0
174,174,45806,other,,3.0
175,175,45930,other,,4.0
176,176,46051,other,,5.0
177,177,46720,first,6,
178,178,46832,other,,0.0
179,179,46992,other,,1.0
180,180,47101,other,,2.0
181,181,48332,first,3,
182,182,48443,other,,0.0
183,183,48555,first,1,
184,184,49703,first,0,
185,185,49962,first,0,
186,186,50096,other,,0.0
187,187,50200,other,,1.0
188,188,50917,other,,2.0
189,189,51030,other,,3.0
190,190,51151,other,,4.0
191,191,51261,other,,5.0
192,192,52133,other,,6.0
193,193,52240,first,7,
194,194,52372,other,,0.0
195,195,52481,other,,1.0
196,196,53259,first,2,
197,197,53372,other,,0.0
198,198,53484,other,,1.0
199,199,53592,other,,2.0
200,200,54364,other,,3.0
201,201,54470,other,,4.0
202,202,54589,other,,5.0
203,203,55138,other,,6.0
204,204,55246,other,,7.0
205,205,55360,other,,8.0
206,206,55469,other,,9.0
207,207,56020,other,,10.0
208,208,56134,first,11,
209,209,56286,other,,0.0
210,210,56389,other,,1.0
211,211,56926,first,2,
212,212,57126,first,0,
213,213,57231,other,,0.0
214,214,57958,first,1,
215,215,58187,other,,0.0
216,216,58302,first,1,
217,217,58905,first,0,
218,218,59028,other,,0.0
219,219,59176,other,,1.0
220,220,59306,other,,2.0
221,221,60074,first,3,
222,222,60207,first,0,
223,223,60390,other,,0.0
224,224,61378,first,1,
225,225,61480,other,,0.0
226,226,61598,other,,1.0
227,227,62484,first,2,
228,228,62593,other,,0.0
229,229,62699,other,,1.0
230,230,62812,other,,2.0
231,231,63886,first,3,
232,232,64002,other,,0.0
233,233,64110,other,,1.0
234,234,64212,other,,2.0
235,235,65112,other,,3.0
236,236,65219,other,,4.0
237,237,65357,other,,5.0
238,238,65471,other,,6.0
239,239,66220,other,,7.0
240,240,66330,first,8,
241,241,66463,other,,0.0
242,242,66597,other,,1.0
243,243,67454,first,2,
244,244,67715,other,,0.0
245,245,67858,other,,1.0
246,246,67986,other,,2.0
247,247,68856,first,3,
248,248,68972,first,0,
249,249,69116,other,,0.0
250,250,69226,other,,1.0
251,251,69875,first,2,
252,252,69976,other,,0.0
253,253,70120,other,,1.0
254,254,70982,first,2,
255,255,71185,other,,0.0
256,256,72092,first,1,
257,257,72232,other,,0.0
258,258,72340,first,1,
259,259,72488,other,,0.0
260,260,74182,first,1,
261,261,74288,other,,0.0
262,262,74428,first,1,
