,keystroke_idx,time,type,prev_keystrokes,keystrokes_since
0,0,174,first,0,
1,1,317,other,,1.0
2,2,698,other,,2.0
3,3,839,other,,3.0
4,4,1070,other,,4.0
5,5,1213,other,,5.0
6,6,1584,first,5,
7,7,1724,other,,0.0
8,8,2081,other,,1.0
9,9,2219,other,,2.0
10,10,2551,other,,3.0
11,11,2695,first,4,
12,12,3015,first,0,
13,13,3156,other,,0.0
14,14,3449,other,,1.0
15,15,3591,other,,2.0
16,16,3942,other,,3.0
17,17,4087,other,,4.0
18,18,4556,first,5,
19,19,4694,other,,0.0
20,20,5060,first,1,
21,21,5198,other,,0.0
22,22,5669,first,1,
23,23,5807,first,0,
24,24,6125,other,,0.0
25,25,6270,other,,1.0
26,26,6686,first,2,
27,27,6829,first,0,
28,28,7229,other,,0.0
29,29,7365,other,,1.0
30,30,7770,first,2,
31,31,7909,other,,0.0
32,32,8362,first,1,
33,33,8503,other,,0.0
34,34,8877,other,,1.0
35,35,9012,other,,2.0
36,36,9461,other,,3.0
37,37,9606,other,,4.0
38,38,9920,other,,5.0
39,39,10059,other,,6.0
40,40,10485,first,7,
41,41,10631,other,,0.0
42,42,11008,first,1,
43,43,11152,other,,0.0
44,44,11538,first,1,
45,45,11673,other,,0.0
46,46,12042,other,,1.0
47,47,12177,other,,2.0
48,48,12577,other,,3.0
49,49,12713,other,,4.0
50,50,13141,other,,5.0
51,51,13697,first,6,
52,52,13829,other,,0.0
53,53,14239,first,1,
54,54,14374,other,,0.0
55,55,14745,first,1,
56,56,14885,other,,0.0
57,57,15222,other,,1.0
58,58,15445,first,2,
59,59,15738,other,,0.0
60,60,15872,first,1,
61,61,16159,first,0,
62,62,16299,other,,0.0
63,63,16755,other,,1.0
64,64,16891,other,,2.0
65,65,17238,first,3,
66,66,17371,other,,0.0
67,67,17699,first,1,
68,68,17834,other,,0.0
69,69,18140,other,,1.0
70,70,18275,other,,2.0
71,71,18599,other,,3.0
72,72,18739,first,4,
73,73,19037,other,,0.0
74,74,19177,other,,1.0
75,75,19496,other,,2.0
76,76,19635,other,,3.0
77,77,19982,first,4,
78,78,20114,other,,0.0
79,79,20432,other,,1.0
80,80,20569,other,,2.0
81,81,20914,other,,3.0
82,82,21057,first,4,
83,83,21436,other,,0.0
84,84,21568,other,,1.0
