,keystroke_idx,time,type,prev_keystrokes,keystrokes_since
0,0,174,first,0,
1,1,300,other,,1.0
2,2,417,other,,2.0
3,3,534,other,,3.0
4,4,653,other,,4.0
5,5,1476,first,4,
6,6,1589,first,0,
7,7,1717,other,,0.0
8,8,1838,other,,1.0
9,9,2403,other,,2.0
10,10,2515,other,,3.0
11,11,2632,first,4,
12,12,2762,other,,0.0
13,13,3194,first,1,
14,14,3309,other,,0.0
15,15,3415,other,,1.0
16,16,3527,other,,2.0
17,17,3909,other,,3.0
18,18,4028,other,,4.0
19,19,4138,first,5,
20,20,4504,first,0,
21,21,4625,other,,0.0
22,22,4742,first,1,
23,23,5182,other,,0.0
24,24,5530,first,1,
25,25,5644,other,,0.0
26,26,5746,other,,1.0
27,27,5852,first,2,
28,28,6053,other,,0.0
29,29,6191,other,,1.0
30,30,6296,other,,2.0
31,31,6480,other,,3.0
32,32,6593,first,4,
33,33,6867,first,0,
34,34,7065,other,,0.0
35,35,7195,other,,1.0
36,36,7309,other,,2.0
37,37,7425,other,,3.0
38,38,7549,other,,4.0
39,39,7694,first,5,
40,40,7830,other,,0.0
41,41,8754,first,1,
42,42,8879,other,,0.0
43,43,9008,other,,1.0
44,44,9446,other,,2.0
45,45,9588,other,,3.0
46,46,9725,other,,4.0
47,47,10048,other,,5.0
48,48,10295,first,6,
49,49,10430,other,,0.0
50,50,10815,first,1,
51,51,10947,other,,0.0
52,52,11073,other,,1.0
53,53,11211,other,,2.0
54,54,11371,first,3,
55,55,11698,first,0,
56,56,11844,other,,0.0
57,57,11980,other,,1.0
58,58,12107,other,,2.0
59,59,12251,other,,3.0
60,60,12391,other,,4.0
61,61,13060,other,,5.0
62,62,13190,other,,6.0
63,63,13325,other,,7.0
64,64,13665,first,8,
65,65,13808,other,,0.0
66,66,13947,other,,1.0
67,67,14094,first,2,
68,68,14395,other,,0.0
69,69,14512,other,,1.0
70,70,14636,first,2,
71,71,14863,other,,0.0
72,72,14991,other,,1.0
73,73,15116,other,,2.0
74,74,15898,first,3,
75,75,16031,first,0,
76,76,16157,other,,0.0
77,77,16670,other,,1.0
78,78,16791,other,,2.0
79,79,16922,first,3,
80,80,17231,first,0,
81,81,17362,other,,0.0
82,82,17496,first,1,
83,83,17737,first,0,
84,84,17842,other,,0.0
85,85,17974,other,,1.0
86,86,18448,other,,2.0
87,87,18568,other,,3.0
88,88,18674,other,,4.0
89,89,18785,first,5,
90,90,18897,other,,0.0
91,91,19016,other,,1.0
92,92,19509,other,,2.0
93,93,19612,other,,3.0
94,94,19716,first,4,
95,95,19962,other,,0.0
96,96,20520,first,1,
97,97,20902,other,,0.0
98,98,21017,first,1,
99,99,21128,other,,0.0
100,100,21241,other,,1.0
101,101,21652,other,,2.0
102,102,21763,other,,3.0
103,103,21868,other,,4.0
104,104,21977,other,,5.0
105,105,22753,other,,6.0
106,106,22859,other,,7.0
107,107,22970,other,,8.0
108,108,23079,other,,9.0
109,109,23193,other,,10.0
110,110,23309,first,11,
111,111,23795,other,,0.0
112,112,23899,other,,1.0
113,113,24005,other,,2.0
114,114,24106,first,3,
115,115,24968,first,0,
116,116,25092,other,,0.0
117,117,25205,other,,1.0
118,118,25693,first,2,
119,119,25815,other,,0.0
120,120,25925,first,1,
121,121,26860,first,0,
122,122,26961,other,,0.0
123,123,27062,other,,1.0
124,124,27765,first,2,
125,125,27870,other,,0.0
126,126,27971,other,,1.0
127,127,28660,first,2,
128,128,28848,first,0,
129,129,28950,other,,0.0
130,130,29052,other,,1.0
131,131,29654,other,,2.0
132,132,29771,first,3,
133,133,29880,other,,0.0
134,134,29986,other,,1.0
135,135,31547,other,,2.0
136,136,31654,other,,3.0
137,137,31759,other,,4.0
138,138,31872,other,,5.0
139,139,31998,other,,6.0
140,140,33393,first,7,
141,141,33504,first,0,
142,142,33605,other,,0.0
143,143,33815,other,,1.0
144,144,34427,first,2,
145,145,34543,other,,0.0
146,146,34647,first,1,
147,147,35055,other,,0.0
148,148,35164,other,,1.0
149,149,35277,other,,2.0
150,150,35378,other,,3.0
151,151,35486,other,,4.0
152,152,36004,other,,5.0
153,153,36193,other,,6.0
154,154,36298,other,,7.0
155,155,36756,other,,8.0
156,156,36941,first,9,
157,157,37122,other,,0.0
158,158,37805,first,1,
159,159,37987,first,0,
160,160,38185,first,0,
161,161,38611,other,,0.0
162,162,38724,other,,1.0
163,163,38912,other,,2.0
164,164,39370,other,,3.0
165,165,39475,other,,4.0
166,166,39576,other,,5.0
167,167,39681,other,,6.0
168,168,40237,first,7,
169,169,40342,other,,0.0
170,170,40529,other,,1.0
171,171,41228,first,2,
172,172,41411,other,,0.0
173,173,42041,other,,1.0
174,174,42240,other,,2.0
175,175,42342,other,,3.0
176,176,42935,other,,4.0
177,177,43041,other,,5.0
178,178,43144,other,,6.0
179,179,43251,other,,7.0
180,180,43728,other,,8.0
181,181,43910,first,9,
182,182,44545,first,0,
183,183,44649,other,,0.0
184,184,44751,other,,1.0
185,185,44949,first,2,
186,186,45064,other,,0.0
187,187,46921,first,1,
188,188,47035,other,,0.0
189,189,47144,other,,1.0
190,190,47249,other,,2.0
191,191,47366,other,,3.0
192,192,48345,first,4,
193,193,48457,other,,0.0
194,194,48573,first,1,
195,195,48719,other,,0.0
196,196,48825,first,1,
197,197,49546,other,,0.0
198,198,49655,other,,1.0
199,199,49798,first,2,
200,200,49903,other,,0.0
201,201,50010,first,1,
202,202,50902,other,,0.0
203,203,51011,other,,1.0
204,204,51113,other,,2.0
205,205,51288,other,,3.0
206,206,52287,first,4,
207,207,52392,other,,0.0
208,208,52499,other,,1.0
209,209,52611,other,,2.0
210,210,53191,first,3,
211,211,53311,other,,0.0
212,212,53423,other,,1.0
213,213,53541,other,,2.0
214,214,53813,other,,3.0
215,215,54408,other,,4.0
216,216,54519,other,,5.0
217,217,54631,other,,6.0
218,218,54759,other,,7.0
219,219,55448,other,,8.0
220,220,55560,other,,9.0
221,221,55695,other,,10.0
222,222,55828,other,,11.0
223,223,55947,other,,12.0
224,224,56496,first,13,
225,225,56615,first,0,
226,226,56727,other,,0.0
227,227,56852,other,,1.0
228,228,56988,other,,2.0
229,229,58098,first,3,
230,230,58217,other,,0.0
231,231,58327,first,1,
232,232,58449,other,,0.0
233,233,58555,first,1,
234,234,59540,first,0,
235,235,59657,first,0,
236,236,59765,other,,0.0
237,237,59875,other,,1.0
238,238,60457,first,2,
239,239,60622,other,,0.0
240,240,60743,other,,1.0
241,241,61369,first,2,
242,242,61487,other,,0.0
243,243,61604,other,,1.0
244,244,61714,other,,2.0
245,245,61816,other,,3.0
246,246,61926,other,,4.0
247,247,62033,other,,5.0
248,248,62147,other,,6.0
249,249,62270,first,7,
250,250,63016,first,0,
251,251,63117,other,,0.0
252,252,63224,other,,1.0
253,253,63435,other,,2.0
254,254,63548,first,3,
255,255,63664,other,,0.0
256,256,63767,other,,1.0
257,257,63889,other,,2.0
258,258,64986,other,,3.0
259,259,65092,other,,4.0
260,260,65196,other,,5.0
261,261,65301,other,,6.0
262,262,65406,other,,7.0
263,263,65747,other,,8.0
264,264,65854,other,,9.0
265,265,65955,other,,10.0
266,266,66149,other,,11.0
267,267,66711,first,12,
268,268,66821,other,,0.0
269,269,66934,other,,1.0
270,270,67046,other,,2.0
271,271,67912,first,3,
272,272,68110,other,,0.0
273,273,68217,other,,1.0
274,274,69229,first,2,
275,275,69426,first,0,
276,276,69527,other,,0.0
277,277,70562,first,1,
278,278,70671,other,,0.0
279,279,70783,other,,1.0
280,280,70938,other,,2.0
281,281,71472,other,,3.0
282,282,71578,other,,4.0
283,283,71683,first,5,
284,284,71968,first,0,
285,285,72079,other,,0.0
286,286,72190,other,,1.0
287,287,72359,first,2,
288,288,72539,other,,0.0
289,289,72660,other,,1.0
290,290,72780,other,,2.0
291,291,73035,other,,3.0
292,292,73139,other,,4.0
293,293,73249,other,,5.0
294,294,73418,other,,6.0
295,295,73780,other,,7.0
296,296,73906,other,,8.0
297,297,74019,other,,9.0
298,298,75010,first,10,
299,299,75113,other,,0.0
300,300,75217,other,,1.0
301,301,75983,first,2,
302,302,76183,other,,0.0
