,keystroke_idx,time,type,prev_keystrokes,keystrokes_since
0,0,93,first,0,
1,1,220,other,,1.0
2,2,802,other,,2.0
3,3,927,other,,3.0
4,4,1043,other,,4.0
5,5,1155,other,,5.0
6,6,1676,first,5,
7,7,1804,other,,0.0
8,8,1935,other,,1.0
9,9,2064,other,,2.0
10,10,2616,first,3,
11,11,2739,other,,0.0
12,12,2857,first,1,
13,13,2973,other,,0.0
14,14,3446,other,,1.0
15,15,3565,other,,2.0
16,16,3681,other,,3.0
17,17,3805,other,,4.0
18,18,4431,first,5,
19,19,4589,other,,0.0
20,20,4715,other,,1.0
21,21,4853,first,2,
22,22,5569,first,0,
23,23,5688,other,,0.0
24,24,5819,first,1,
25,25,5946,other,,0.0
26,26,6494,other,,1.0
27,27,6629,first,2,
28,28,6761,other,,0.0
29,29,6890,first,1,
30,30,7393,other,,0.0
31,31,7572,other,,1.0
32,32,7752,first,2,
33,33,7910,other,,0.0
34,34,8673,first,1,
35,35,8813,other,,0.0
36,36,8987,other,,1.0
37,37,9137,other,,2.0
38,38,9944,other,,3.0
39,39,10100,other,,4.0
40,40,10259,first,5,
41,41,10396,other,,0.0
42,42,10856,first,1,
43,43,11026,other,,0.0
44,44,11162,other,,1.0
45,45,11277,first,2,
46,46,11642,first,0,
47,47,11764,other,,0.0
48,48,11887,other,,1.0
49,49,11998,other,,2.0
50,50,12518,other,,3.0
51,51,12634,other,,4.0
52,52,12749,other,,5.0
53,53,12873,other,,6.0
54,54,13343,other,,7.0
55,55,13490,other,,8.0
56,56,13612,first,9,
57,57,13732,other,,0.0
58,58,14197,first,1,
59,59,14334,other,,0.0
60,60,14465,other,,1.0
61,61,14599,first,2,
62,62,15215,other,,0.0
63,63,15402,first,1,
64,64,15555,other,,0.0
65,65,15678,other,,1.0
66,66,16251,first,2,
67,67,16356,other,,0.0
68,68,16470,other,,1.0
69,69,16575,other,,2.0
70,70,17706,first,3,
71,71,17822,other,,0.0
72,72,17929,other,,1.0
73,73,18037,other,,2.0
74,74,18794,first,3,
75,75,18912,other,,0.0
76,76,19029,other,,1.0
77,77,19141,other,,2.0
78,78,19550,other,,3.0
79,79,19673,other,,4.0
80,80,19793,first,5,
81,81,19900,other,,0.0
82,82,20649,first,1,
83,83,20771,other,,0.0
84,84,20887,other,,1.0
85,85,21022,first,2,
86,86,21663,other,,0.0
87,87,21785,other,,1.0
88,88,21944,other,,2.0
89,89,22163,other,,3.0
90,90,23334,first,4,
91,91,23456,other,,0.0
92,92,23579,other,,1.0
93,93,23703,other,,2.0
94,94,24231,first,3,
95,95,24373,other,,0.0
96,96,24494,first,1,
97,97,24665,other,,0.0
98,98,25089,first,1,
99,99,25234,other,,0.0
100,100,25360,other,,1.0
101,101,25482,other,,2.0
102,102,26158,first,3,
103,103,26278,other,,0.0
104,104,26392,first,1,
105,105,26499,other,,0.0
106,106,27207,other,,1.0
107,107,27325,other,,2.0
108,108,27441,first,3,
109,109,27551,other,,0.0
110,110,28438,first,1,
111,111,28543,other,,0.0
112,112,28652,other,,1.0
113,113,28758,first,2,
114,114,29438,other,,0.0
115,115,29547,other,,1.0
116,116,29650,other,,2.0
117,117,29753,first,3,
118,118,30556,other,,0.0
119,119,30659,other,,1.0
120,120,30773,other,,2.0
121,121,30886,other,,3.0
122,122,31361,other,,4.0
123,123,31477,other,,5.0
124,124,31578,other,,6.0
125,125,31686,other,,7.0
126,126,32662,other,,8.0
127,127,32776,other,,9.0
128,128,32882,other,,10.0
129,129,32992,other,,11.0
130,130,33528,first,12,
131,131,33642,other,,0.0
132,132,33747,other,,1.0
133,133,33852,other,,2.0
134,134,34378,first,3,
135,135,34491,other,,0.0
136,136,34603,first,1,
137,137,34729,other,,0.0
138,138,35507,other,,1.0
139,139,35894,other,,2.0
140,140,36012,other,,3.0
141,141,36130,other,,4.0
142,142,36240,other,,5.0
143,143,37091,first,6,
144,144,37201,other,,0.0
145,145,37307,other,,1.0
146,146,37414,first,2,
147,147,38122,first,0,
148,148,38235,first,0,
149,149,38345,other,,0.0
150,150,38446,other,,1.0
151,151,39020,other,,2.0
152,152,39122,other,,3.0
153,153,39340,other,,4.0
154,154,39905,other,,5.0
155,155,40025,other,,6.0
156,156,40149,other,,7.0
157,157,40285,first,8,
158,158,40982,first,0,
159,159,41089,other,,0.0
160,160,41201,other,,1.0
161,161,41311,other,,2.0
162,162,42649,other,,3.0
163,163,42758,other,,4.0
164,164,42871,other,,5.0
165,165,42982,other,,6.0
166,166,43918,first,7,
167,167,44039,other,,0.0
168,168,44152,other,,1.0
169,169,44270,other,,2.0
170,170,44681,first,3,
171,171,44801,first,0,
172,172,44908,other,,0.0
173,173,45016,other,,1.0
174,174,45400,other,,2.0
175,175,45518,other,,3.0
176,176,45623,other,,4.0
177,177,45727,other,,5.0
178,178,46223,first,6,
179,179,46324,other,,0.0
180,180,46426,first,1,
181,181,47152,first,0,
182,182,47258,other,,0.0
183,183,47383,other,,1.0
184,184,47490,first,2,
185,185,47852,first,0,
186,186,47967,other,,0.0
187,187,48103,other,,1.0
188,188,48277,other,,2.0
189,189,49138,first,3,
190,190,49241,other,,0.0
191,191,49348,other,,1.0
192,192,49458,other,,2.0
193,193,50344,first,3,
194,194,50449,other,,0.0
195,195,50550,other,,1.0
196,196,51190,other,,2.0
197,197,51299,other,,3.0
198,198,51435,other,,4.0
199,199,51562,other,,5.0
200,200,52510,first,6,
201,201,52938,first,0,
202,202,53041,other,,0.0
203,203,53153,other,,1.0
204,204,53258,other,,2.0
205,205,53657,other,,3.0
206,206,53759,other,,4.0
207,207,53873,other,,5.0
208,208,53977,other,,6.0
209,209,55066,other,,7.0
210,210,55172,other,,8.0
211,211,55359,other,,9.0
212,212,55703,other,,10.0
213,213,55804,other,,11.0
214,214,55923,other,,12.0
215,215,56035,other,,13.0
216,216,56355,first,14,
217,217,56457,other,,0.0
218,218,56561,other,,1.0
219,219,56984,first,2,
220,220,57185,first,0,
221,221,57300,other,,0.0
222,222,57923,first,1,
223,223,58033,other,,0.0
224,224,58237,other,,1.0
225,225,58689,first,2,
226,226,58798,other,,0.0
227,227,58906,other,,1.0
228,228,59018,other,,2.0
229,229,59795,first,3,
230,230,59900,other,,0.0
231,231,60018,first,1,
232,232,60123,other,,0.0
233,233,61118,first,1,
234,234,61220,first,0,
235,235,61421,other,,0.0
236,236,62518,first,1,
237,237,62626,other,,0.0
238,238,62733,other,,1.0
239,239,62838,other,,2.0
240,240,63149,other,,3.0
241,241,63254,other,,4.0
242,242,63359,other,,5.0
243,243,63820,first,6,
244,244,64029,other,,0.0
245,245,64137,other,,1.0
246,246,64606,other,,2.0
247,247,64720,other,,3.0
248,248,64838,other,,4.0
249,249,66392,first,5,
250,250,66497,other,,0.0
251,251,66600,other,,1.0
252,252,66709,other,,2.0
253,253,67193,first,3,
254,254,67294,other,,0.0
255,255,67398,first,1,
256,256,68131,other,,0.0
257,257,68241,other,,1.0
258,258,68449,other,,2.0
259,259,69341,first,3,
