,keystroke_idx,time,type,prev_keystrokes,keystrokes_since
0,0,291,first,0,
1,1,456,other,,1.0
2,2,961,other,,2.0
3,3,1128,other,,3.0
4,4,1651,first,3,
5,5,1816,other,,0.0
6,6,2330,first,1,
7,7,2507,other,,0.0
8,8,2611,other,,1.0
9,9,3050,first,2,
10,10,3222,other,,0.0
11,11,3750,first,1,
12,12,3924,other,,0.0
13,13,4456,first,1,
14,14,4627,other,,0.0
15,15,5177,first,1,
16,16,5338,other,,0.0
17,17,5886,first,1,
18,18,6059,other,,0.0
19,19,6592,other,,1.0
20,20,6762,other,,2.0
21,21,7296,other,,3.0
22,22,7468,first,4,
23,23,8013,first,0,
24,24,8196,other,,0.0
25,25,8758,first,1,
26,26,8939,other,,0.0
27,27,9500,other,,1.0
28,28,9623,other,,2.0
29,29,9801,other,,3.0
30,30,10262,other,,4.0
31,31,10434,other,,5.0
32,32,11017,first,6,
33,33,11200,other,,0.0
34,34,11794,first,1,
35,35,11949,other,,0.0
36,36,12449,other,,1.0
37,37,12602,first,2,
38,38,13070,first,0,
39,39,13223,first,0,
40,40,13688,other,,0.0
41,41,13839,other,,1.0
42,42,14303,first,2,
43,43,14454,first,0,
44,44,14923,first,0,
45,45,15065,other,,0.0
46,46,15498,other,,1.0
47,47,15648,other,,2.0
48,48,16099,first,3,
49,49,16230,other,,0.0
50,50,16392,other,,1.0
51,51,16779,other,,2.0
52,52,16944,first,3,
53,53,17438,first,0,
54,54,17592,other,,0.0
55,55,18050,other,,1.0
56,56,18197,first,2,
57,57,18669,other,,0.0
58,58,18818,other,,1.0
59,59,19278,other,,2.0
60,60,19409,other,,3.0
61,61,19572,other,,4.0
62,62,19952,other,,5.0
63,63,20093,other,,6.0
64,64,20553,first,7,
65,65,20700,other,,0.0
66,66,21148,other,,1.0
67,67,21279,first,2,
68,68,21766,first,0,
69,69,21915,first,0,
70,70,22403,other,,0.0
71,71,22557,other,,1.0
72,72,23013,first,2,
73,73,23164,first,0,
74,74,23637,first,0,
75,75,23794,other,,0.0
76,76,24251,other,,1.0
77,77,24406,other,,2.0
78,78,24871,first,3,
79,79,25019,other,,0.0
80,80,25474,other,,1.0
81,81,25622,first,2,
82,82,26069,first,0,
83,83,26212,other,,0.0
84,84,26680,other,,1.0
85,85,26823,other,,2.0
86,86,27280,first,3,
87,87,27428,other,,0.0
88,88,27894,other,,1.0
89,89,28121,other,,2.0
90,90,28585,other,,3.0
91,91,28736,other,,4.0
92,92,29231,other,,5.0
93,93,29387,other,,6.0
94,94,29867,other,,7.0
95,95,30014,other,,8.0
96,96,30473,first,9,
97,97,30619,first,0,
98,98,31145,other,,0.0
99,99,31307,other,,1.0
100,100,31758,first,2,
101,101,31913,other,,0.0
102,102,32370,other,,1.0
103,103,32509,other,,2.0
104,104,32945,other,,3.0
105,105,33086,other,,4.0
106,106,33562,other,,5.0
107,107,33708,other,,6.0
108,108,34152,first,7,
109,109,34298,other,,0.0
110,110,34762,first,1,
111,111,34907,other,,0.0
112,112,35375,first,1,
113,113,35527,other,,0.0
114,114,35983,other,,1.0
115,115,36126,other,,2.0
116,116,36581,other,,3.0
117,117,36722,other,,4.0
118,118,37222,other,,5.0
119,119,37387,first,6,
120,120,37931,first,0,
121,121,38092,other,,0.0
122,122,38593,other,,1.0
123,123,38751,other,,2.0
124,124,39234,other,,3.0
125,125,39385,other,,4.0
126,126,39852,other,,5.0
127,127,39995,other,,6.0
128,128,40409,other,,7.0
129,129,40554,other,,8.0
130,130,40976,first,9,
131,131,41115,other,,0.0
132,132,41523,other,,1.0
133,133,41691,other,,2.0
134,134,41832,first,3,
135,135,42190,first,0,
136,136,42330,other,,0.0
137,137,42795,other,,1.0
138,138,42934,other,,2.0
139,139,43371,first,3,
140,140,43518,other,,0.0
141,141,43944,first,1,
142,142,44076,other,,0.0
143,143,44526,other,,1.0
144,144,44663,other,,2.0
145,145,45073,first,3,
146,146,45210,other,,0.0
147,147,45638,other,,1.0
148,148,45774,first,2,
149,149,46199,first,0,
150,150,46343,other,,0.0
151,151,46766,other,,1.0
152,152,46913,first,2,
153,153,47357,first,0,
154,154,47503,other,,0.0
155,155,47963,other,,1.0
156,156,48118,other,,2.0
157,157,48602,other,,3.0
158,158,48764,other,,4.0
159,159,49251,other,,5.0
160,160,49417,first,6,
161,161,49912,other,,0.0
162,162,50073,first,1,
163,163,50541,other,,0.0
164,164,50691,other,,1.0
165,165,51169,other,,2.0
166,166,51323,other,,3.0
167,167,51779,other,,4.0
168,168,51926,other,,5.0
169,169,52377,other,,6.0
170,170,52516,other,,7.0
171,171,52972,other,,8.0
172,172,53117,other,,9.0
173,173,53572,first,10,
174,174,53718,other,,0.0
175,175,54160,first,1,
176,176,54298,first,0,
177,177,54850,other,,0.0
178,178,54990,other,,1.0
179,179,55476,first,2,
180,180,55606,other,,0.0
181,181,56039,first,1,
182,182,56178,other,,0.0
183,183,56656,first,1,
184,184,56793,other,,0.0
185,185,57255,first,1,
186,186,57399,first,0,
187,187,57519,other,,0.0
188,188,57897,other,,1.0
189,189,58026,other,,2.0
190,190,58451,first,3,
191,191,58586,other,,0.0
192,192,59116,other,,1.0
193,193,59253,other,,2.0
194,194,59678,first,3,
195,195,59808,other,,0.0
196,196,60258,other,,1.0
197,197,60407,other,,2.0
198,198,60863,first,3,
199,199,61010,other,,0.0
200,200,61460,other,,1.0
201,201,61603,other,,2.0
202,202,62054,other,,3.0
203,203,62266,other,,4.0
204,204,62730,other,,5.0
205,205,62876,other,,6.0
206,206,63334,other,,7.0
207,207,63483,other,,8.0
208,208,63959,first,9,
209,209,64114,other,,0.0
210,210,64565,first,1,
211,211,64708,other,,0.0
212,212,65131,other,,1.0
213,213,65278,other,,2.0
214,214,65747,other,,3.0
215,215,65882,first,4,
216,216,66382,first,0,
217,217,66514,first,0,
218,218,66968,other,,0.0
219,219,67103,other,,1.0
220,220,67561,first,2,
221,221,67709,first,0,
222,222,68159,other,,0.0
223,223,68297,other,,1.0
224,224,68728,other,,2.0
225,225,68883,first,3,
226,226,69330,first,0,
227,227,69451,other,,0.0
228,228,69600,first,1,
229,229,69967,other,,0.0
230,230,70107,other,,1.0
231,231,70537,other,,2.0
232,232,70683,other,,3.0
233,233,71134,other,,4.0
234,234,71285,other,,5.0
235,235,71740,first,6,
236,236,71882,other,,0.0
237,237,72321,other,,1.0
238,238,72459,first,2,
239,239,72907,first,0,
240,240,73054,first,0,
241,241,73499,other,,0.0
242,242,73629,other,,1.0
243,243,74134,other,,2.0
244,244,74260,other,,3.0
245,245,74677,other,,4.0
246,246,74814,other,,5.0
247,247,75242,other,,6.0
248,248,75382,other,,7.0
249,249,75774,other,,8.0
250,250,75930,other,,9.0
