,keystroke_idx,time,type,prev_keystrokes,keystrokes_since
0,0,139,first,0,
1,1,249,other,,1.0
2,2,355,other,,2.0
3,3,466,other,,3.0
4,4,830,other,,4.0
5,5,939,other,,5.0
6,6,1045,other,,6.0
7,7,1153,other,,7.0
8,8,1534,first,7,
9,9,1738,first,0,
10,10,1847,other,,0.0
11,11,2169,other,,1.0
12,12,2270,other,,2.0
13,13,2379,other,,3.0
14,14,2488,other,,4.0
15,15,2804,first,5,
16,16,2909,first,0,
17,17,3098,other,,0.0
18,18,3203,other,,1.0
19,19,3535,other,,2.0
20,20,3731,other,,3.0
21,21,4153,first,4,
22,22,4338,other,,0.0
23,23,4442,first,1,
24,24,4760,first,0,
25,25,4871,other,,0.0
26,26,5075,other,,1.0
27,27,5179,other,,2.0
28,28,5482,other,,3.0
29,29,5584,first,4,
30,30,5779,first,0,
31,31,6124,other,,0.0
32,32,6225,other,,1.0
33,33,6427,other,,2.0
34,34,6759,first,3,
35,35,6958,first,0,
36,36,7059,other,,0.0
37,37,7404,other,,1.0
38,38,7604,other,,2.0
39,39,7716,first,3,
40,40,8053,first,0,
41,41,8249,first,0,
42,42,8354,other,,0.0
43,43,8675,other,,1.0
44,44,8870,other,,2.0
45,45,9276,other,,3.0
46,46,9465,other,,4.0
47,47,9878,other,,5.0
48,48,10074,other,,6.0
49,49,10181,other,,7.0
50,50,10480,first,8,
51,51,10671,other,,0.0
52,52,11075,first,1,
53,53,11260,other,,0.0
54,54,11363,first,1,
55,55,11645,first,0,
56,56,11842,other,,0.0
57,57,12244,other,,1.0
58,58,12429,other,,2.0
59,59,12531,other,,3.0
60,60,12847,other,,4.0
61,61,13040,other,,5.0
62,62,13464,other,,6.0
63,63,13656,first,7,
64,64,13760,other,,0.0
65,65,14085,first,1,
66,66,14187,other,,0.0
67,67,14397,other,,1.0
68,68,14733,first,2,
69,69,14834,other,,0.0
70,70,15029,other,,1.0
71,71,15336,other,,2.0
72,72,15526,first,3,
73,73,15635,other,,0.0
74,74,15939,first,1,
75,75,16121,first,0,
76,76,16222,other,,0.0
77,77,16520,other,,1.0
78,78,16705,other,,2.0
79,79,17065,first,3,
80,80,17253,first,0,
81,81,17630,first,0,
82,82,17823,first,0,
83,83,18140,other,,0.0
84,84,18327,other,,1.0
