,keystroke_idx,time,type,prev_keystrokes,keystrokes_since
0,0,142,first,0,
1,1,349,other,,1.0
2,2,451,other,,2.0
3,3,650,other,,3.0
4,4,867,other,,4.0
5,5,1061,other,,5.0
6,6,1175,other,,6.0
7,7,1442,first,6,
8,8,1637,first,0,
9,9,1917,other,,0.0
10,10,2100,other,,1.0
11,11,2208,other,,2.0
12,12,2415,other,,3.0
13,13,2516,other,,4.0
14,14,2705,first,5,
15,15,2948,first,0,
16,16,3128,other,,0.0
17,17,3232,other,,1.0
18,18,3427,other,,2.0
19,19,3619,other,,3.0
20,20,3940,other,,4.0
21,21,4042,other,,5.0
22,22,4145,first,6,
23,23,4250,other,,0.0
24,24,4526,first,1,
25,25,4659,other,,0.0
26,26,4764,first,1,
27,27,5173,other,,0.0
28,28,5277,other,,1.0
29,29,5451,other,,2.0
30,30,5713,first,3,
31,31,5816,first,0,
32,32,5993,other,,0.0
33,33,6287,other,,1.0
34,34,6388,other,,2.0
35,35,6579,first,3,
36,36,6820,first,0,
37,37,7009,other,,0.0
38,38,7112,other,,1.0
39,39,7344,other,,2.0
40,40,7518,other,,3.0
41,41,7623,other,,4.0
42,42,7940,first,5,
43,43,8130,other,,0.0
44,44,8233,first,1,
45,45,8696,other,,0.0
46,46,8871,other,,1.0
47,47,8982,other,,2.0
48,48,9402,other,,3.0
49,49,9588,other,,4.0
50,50,9690,other,,5.0
51,51,9938,other,,6.0
52,52,10127,other,,7.0
53,53,10506,first,8,
54,54,10701,other,,0.0
55,55,10803,first,1,
56,56,11044,other,,0.0
57,57,11145,other,,1.0
58,58,11251,other,,2.0
59,59,11613,first,3,
60,60,11814,other,,0.0
61,61,12191,other,,1.0
62,62,12381,other,,2.0
63,63,12489,other,,3.0
64,64,12935,other,,4.0
65,65,13105,other,,5.0
66,66,14035,first,6,
67,67,14212,first,0,
68,68,14580,other,,0.0
69,69,14752,first,1,
70,70,15181,other,,0.0
71,71,15352,other,,1.0
72,72,15794,first,2,
73,73,15980,other,,0.0
74,74,16083,first,1,
75,75,16344,other,,0.0
76,76,16446,other,,1.0
77,77,16649,other,,2.0
78,78,17491,first,3,
79,79,17668,first,0,
80,80,18031,other,,0.0
81,81,18213,other,,1.0
82,82,18314,other,,2.0
83,83,18654,other,,3.0
84,84,18843,first,4,
85,85,19185,other,,0.0
86,86,19286,other,,1.0
87,87,19468,other,,2.0
88,88,19891,first,3,
89,89,20069,first,0,
90,90,20338,other,,0.0
91,91,20603,other,,1.0
92,92,20706,other,,2.0
93,93,20908,other,,3.0
94,94,21087,first,4,
95,95,21349,other,,0.0
96,96,21539,other,,1.0
97,97,21643,other,,2.0
98,98,21915,other,,3.0
99,99,22096,other,,4.0
100,100,23057,other,,5.0
101,101,23233,other,,6.0
102,102,23341,first,7,
103,103,23882,other,,0.0
104,104,23986,other,,1.0
105,105,24164,first,2,
106,106,24789,first,0,
107,107,24891,other,,0.0
108,108,25078,other,,1.0
109,109,25450,other,,2.0
110,110,25628,first,3,
111,111,26269,first,0,
112,112,26432,first,0,
113,113,26555,other,,0.0
114,114,26674,other,,1.0
115,115,27087,other,,2.0
116,116,27210,other,,3.0
117,117,27412,first,4,
118,118,27820,other,,0.0
119,119,27925,other,,1.0
120,120,28112,other,,2.0
121,121,28359,other,,3.0
122,122,28540,first,4,
123,123,28925,first,0,
124,124,29035,other,,0.0
125,125,29141,other,,1.0
126,126,29477,other,,2.0
127,127,29596,other,,3.0
128,128,29703,first,4,
129,129,29818,other,,0.0
130,130,30109,other,,1.0
131,131,30280,other,,2.0
132,132,30387,other,,3.0
133,133,30494,other,,4.0
134,134,30794,other,,5.0
135,135,30963,other,,6.0
136,136,31096,other,,7.0
137,137,31434,other,,8.0
138,138,31536,other,,9.0
