,keystroke_idx,time,type,prev_keystrokes,keystrokes_since
0,0,1031,first,0,
1,1,1156,other,,1.0
2,2,1297,first,1,
3,3,1432,other,,0.0
4,4,2172,first,1,
5,5,2297,other,,0.0
6,6,2427,other,,1.0
7,7,2557,other,,2.0
8,8,3265,first,3,
9,9,3382,other,,0.0
10,10,3518,other,,1.0
11,11,3639,other,,2.0
12,12,4344,first,3,
13,13,4462,first,0,
14,14,4591,other,,0.0
15,15,4723,other,,1.0
16,16,5448,first,2,
17,17,5564,first,0,
18,18,5687,other,,0.0
19,19,5814,first,1,
20,20,6493,other,,0.0
21,21,6611,first,1,
22,22,6763,other,,0.0
23,23,6896,first,1,
24,24,7551,other,,0.0
25,25,7734,first,1,
26,26,7879,other,,0.0
27,27,8031,first,1,
28,28,8758,first,0,
29,29,8887,other,,0.0
30,30,9027,other,,1.0
31,31,9156,other,,2.0
32,32,9872,other,,3.0
33,33,10004,other,,4.0
34,34,10143,other,,5.0
35,35,10277,first,6,
36,36,10974,first,0,
37,37,11096,other,,0.0
38,38,11225,other,,1.0
39,39,11361,first,2,
40,40,12041,first,0,
41,41,12160,other,,0.0
42,42,12283,other,,1.0
43,43,12414,other,,2.0
44,44,13084,other,,3.0
45,45,13206,other,,4.0
46,46,13394,other,,5.0
47,47,13541,other,,6.0
48,48,14222,first,7,
49,49,14342,other,,0.0
50,50,14475,other,,1.0
51,51,14602,first,2,
52,52,15271,other,,0.0
53,53,15391,first,1,
54,54,15520,other,,0.0
55,55,15639,other,,1.0
56,56,16270,first,2,
57,57,16390,other,,0.0
58,58,16517,other,,1.0
59,59,16633,other,,2.0
60,60,17279,first,3,
61,61,17396,other,,0.0
62,62,17533,first,1,
63,63,17665,first,0,
64,64,18477,other,,0.0
65,65,18583,other,,1.0
66,66,18710,first,2,
67,67,18843,other,,0.0
68,68,19501,other,,1.0
69,69,19619,other,,2.0
70,70,19742,first,3,
71,71,19869,other,,0.0
72,72,20534,first,1,
73,73,20649,other,,0.0
74,74,20768,other,,1.0
75,75,20884,other,,2.0
76,76,21645,first,3,
77,77,21762,other,,0.0
78,78,21883,other,,1.0
79,79,21997,other,,2.0
80,80,22664,other,,3.0
81,81,22774,other,,4.0
82,82,22889,other,,5.0
83,83,23026,other,,6.0
84,84,23621,first,7,
85,85,23724,other,,0.0
86,86,23841,other,,1.0
87,87,23958,other,,2.0
88,88,24602,first,3,
89,89,24717,first,0,
90,90,24845,other,,0.0
91,91,24959,other,,1.0
92,92,25599,other,,2.0
93,93,25724,first,3,
94,94,25836,other,,0.0
95,95,25950,first,1,
96,96,26676,first,0,
97,97,26791,other,,0.0
98,98,26916,other,,1.0
99,99,27096,other,,2.0
100,100,27772,first,3,
101,101,27882,other,,0.0
102,102,27999,other,,1.0
103,103,28118,other,,2.0
104,104,28771,first,3,
105,105,28878,other,,0.0
106,106,28992,other,,1.0
107,107,29137,other,,2.0
108,108,30016,first,3,
109,109,30136,other,,0.0
110,110,30246,other,,1.0
111,111,30362,other,,2.0
112,112,31041,other,,3.0
113,113,31167,other,,4.0
114,114,31297,other,,5.0
115,115,31428,other,,6.0
116,116,32130,other,,7.0
117,117,32253,other,,8.0
118,118,32386,other,,9.0
119,119,32536,other,,10.0
120,120,33192,first,11,
121,121,33317,other,,0.0
122,122,33434,first,1,
123,123,33562,other,,0.0
124,124,34230,other,,1.0
125,125,34412,first,2,
126,126,34547,other,,0.0
127,127,34673,first,1,
128,128,35275,other,,0.0
129,129,35395,other,,1.0
130,130,35524,other,,2.0
131,131,35658,other,,3.0
132,132,36267,other,,4.0
133,133,36377,other,,5.0
134,134,36493,other,,6.0
135,135,36608,other,,7.0
136,136,37225,first,8,
137,137,37348,other,,0.0
138,138,37472,first,1,
139,139,37602,other,,0.0
140,140,38197,first,1,
141,141,38304,other,,0.0
142,142,38425,other,,1.0
143,143,38548,other,,2.0
144,144,39165,other,,3.0
145,145,39280,other,,4.0
146,146,39404,other,,5.0
147,147,39527,other,,6.0
148,148,40206,first,7,
149,149,40321,other,,0.0
150,150,40437,other,,1.0
151,151,40553,other,,2.0
152,152,41325,first,3,
153,153,41454,other,,0.0
154,154,41577,other,,1.0
155,155,41704,other,,2.0
156,156,42413,other,,3.0
157,157,42534,other,,4.0
158,158,42657,other,,5.0
159,159,42779,other,,6.0
160,160,43394,other,,7.0
161,161,43505,other,,8.0
162,162,43632,other,,9.0
163,163,43752,other,,10.0
164,164,44358,first,11,
165,165,44472,other,,0.0
166,166,44590,first,1,
167,167,44718,other,,0.0
168,168,45375,first,1,
169,169,45506,other,,0.0
170,170,45627,other,,1.0
171,171,45759,other,,2.0
172,172,46435,first,3,
173,173,46566,other,,0.0
174,174,46707,other,,1.0
175,175,46837,first,2,
176,176,47486,other,,0.0
177,177,47616,first,1,
178,178,47738,other,,0.0
179,179,47875,first,1,
180,180,48521,first,0,
181,181,48636,other,,0.0
182,182,48760,other,,1.0
183,183,48881,first,2,
184,184,49602,other,,0.0
185,185,49718,first,1,
186,186,49849,other,,0.0
187,187,49978,first,1,
188,188,50842,other,,0.0
189,189,50964,other,,1.0
190,190,51096,other,,2.0
191,191,51236,other,,3.0
192,192,51994,other,,4.0
193,193,52186,other,,5.0
194,194,52316,first,6,
195,195,52457,other,,0.0
196,196,53160,first,1,
197,197,53290,other,,0.0
198,198,53417,other,,1.0
199,199,53550,other,,2.0
200,200,54268,other,,3.0
201,201,54381,other,,4.0
202,202,54516,other,,5.0
203,203,54643,other,,6.0
204,204,55307,other,,7.0
205,205,55425,other,,8.0
206,206,55553,other,,9.0
207,207,55680,other,,10.0
208,208,56450,first,11,
209,209,56567,other,,0.0
210,210,56687,first,1,
211,211,56823,other,,0.0
212,212,57518,first,1,
213,213,57644,other,,0.0
214,214,57768,other,,1.0
215,215,57891,first,2,
216,216,58553,first,0,
217,217,58676,other,,0.0
218,218,58811,other,,1.0
219,219,58940,other,,2.0
220,220,59634,first,3,
221,221,59757,first,0,
222,222,59881,other,,0.0
223,223,60025,first,1,
224,224,60728,first,0,
225,225,60836,other,,0.0
226,226,60951,other,,1.0
227,227,61065,other,,2.0
228,228,61671,first,3,
229,229,61777,other,,0.0
230,230,61891,other,,1.0
231,231,62000,other,,2.0
232,232,62655,first,3,
233,233,62756,other,,0.0
234,234,62861,other,,1.0
235,235,62971,other,,2.0
236,236,63629,first,3,
237,237,63829,other,,0.0
238,238,64561,other,,1.0
239,239,64663,other,,2.0
240,240,64769,other,,3.0
241,241,64874,other,,4.0
242,242,65483,other,,5.0
243,243,65591,other,,6.0
244,244,65693,other,,7.0
245,245,65804,other,,8.0
246,246,66525,first,9,
247,247,66635,other,,0.0
248,248,66748,other,,1.0
249,249,66869,other,,2.0
250,250,67531,first,3,
251,251,67671,other,,0.0
252,252,67795,other,,1.0
253,253,67917,other,,2.0
254,254,68511,other,,3.0
255,255,68637,first,4,
256,256,68767,other,,0.0
257,257,68903,first,1,
258,258,69581,first,0,
259,259,69690,other,,0.0
260,260,69814,other,,1.0
261,261,69934,other,,2.0
262,262,70676,first,3,
263,263,70787,other,,0.0
264,264,70923,other,,1.0
265,265,71062,other,,2.0
266,266,72263,first,3,
267,267,72380,first,0,
268,268,72509,other,,0.0
269,269,72629,other,,1.0
270,270,73305,other,,2.0
271,271,73429,other,,3.0
272,272,73561,other,,4.0
273,273,73685,other,,5.0
274,274,74532,first,6,
275,275,74646,other,,0.0
276,276,74772,other,,1.0
277,277,74913,other,,2.0
278,278,75707,first,3,
279,279,75808,other,,0.0
280,280,75927,other,,1.0
281,281,76049,other,,2.0
282,282,76662,other,,3.0
