,keystroke_idx,time,type,prev_keystrokes,keystrokes_since
0,0,73,first,0,
1,1,177,other,,1.0
2,2,278,other,,2.0
3,3,380,other,,3.0
4,4,958,other,,4.0
5,5,1157,other,,5.0
6,6,1692,first,5,
7,7,1937,other,,0.0
8,8,2232,other,,1.0
9,9,2419,other,,2.0
10,10,2565,first,3,
11,11,2853,first,0,
12,12,3135,other,,0.0
13,13,3326,other,,1.0
14,14,3560,other,,2.0
15,15,3756,other,,3.0
16,16,3964,other,,4.0
17,17,4439,first,5,
18,18,4540,other,,0.0
19,19,4829,first,1,
20,20,4984,other,,0.0
21,21,5109,other,,1.0
22,22,5636,first,2,
23,23,6047,first,0,
24,24,6299,other,,0.0
25,25,6474,other,,1.0
26,26,7014,first,2,
27,27,7210,other,,0.0
28,28,7485,other,,1.0
29,29,7679,other,,2.0
30,30,8172,first,3,
31,31,8363,first,0,
32,32,8818,other,,0.0
33,33,8938,other,,1.0
34,34,9043,other,,2.0
35,35,9154,other,,3.0
36,36,9277,other,,4.0
37,37,9388,other,,5.0
38,38,9494,other,,6.0
39,39,9608,other,,7.0
40,40,9963,other,,8.0
41,41,10097,other,,9.0
42,42,10256,first,10,
43,43,10924,first,0,
44,44,11026,other,,0.0
45,45,11225,other,,1.0
46,46,11934,first,2,
47,47,12035,other,,0.0
48,48,12137,other,,1.0
49,49,12797,other,,2.0
50,50,12990,other,,3.0
51,51,13192,other,,4.0
52,52,13391,other,,5.0
53,53,13929,first,6,
54,54,14117,first,0,
55,55,14331,other,,0.0
56,56,14821,first,1,
57,57,14999,other,,0.0
58,58,15593,first,1,
59,59,15775,first,0,
60,60,16339,first,0,
61,61,16440,other,,0.0
62,62,16635,other,,1.0
63,63,17055,first,2,
64,64,17170,first,0,
65,65,17368,other,,0.0
66,66,17689,first,1,
67,67,17883,other,,0.0
68,68,18070,other,,1.0
69,69,18265,other,,2.0
70,70,18370,other,,3.0
71,71,19010,first,4,
72,72,19192,other,,0.0
73,73,19376,other,,1.0
74,74,19561,other,,2.0
75,75,20309,first,3,
76,76,20481,other,,0.0
77,77,20669,other,,1.0
78,78,21029,first,2,
79,79,21201,other,,0.0
80,80,21657,other,,1.0
81,81,21826,other,,2.0
82,82,21988,other,,3.0
83,83,22689,other,,4.0
84,84,22864,other,,5.0
85,85,23510,first,6,
86,86,23894,other,,0.0
87,87,24065,first,1,
88,88,24766,first,0,
89,89,24955,other,,0.0
90,90,25588,other,,1.0
91,91,25765,first,2,
92,92,25870,first,0,
93,93,26392,first,0,
94,94,26571,other,,0.0
95,95,27310,other,,1.0
96,96,27457,first,2,
97,97,28172,other,,0.0
98,98,28338,other,,1.0
99,99,29244,first,2,
100,100,29401,other,,0.0
101,101,30021,first,1,
102,102,30175,other,,0.0
103,103,30793,other,,1.0
104,104,30936,other,,2.0
105,105,31677,other,,3.0
106,106,31813,other,,4.0
107,107,32396,other,,5.0
108,108,32560,other,,6.0
109,109,32664,other,,7.0
110,110,33495,first,8,
111,111,33683,other,,0.0
112,112,34503,first,1,
113,113,34650,first,0,
114,114,35323,other,,0.0
115,115,35500,other,,1.0
116,116,36166,other,,2.0
117,117,36311,other,,3.0
118,118,36454,other,,4.0
119,119,36622,other,,5.0
120,120,36936,first,6,
121,121,37076,other,,0.0
122,122,37212,other,,1.0
123,123,37745,first,2,
124,124,37895,first,0,
125,125,38035,other,,0.0
126,126,38473,first,1,
127,127,38634,other,,0.0
128,128,38751,other,,1.0
129,129,38862,other,,2.0
130,130,39358,other,,3.0
131,131,39523,other,,4.0
132,132,39686,other,,5.0
133,133,40100,other,,6.0
134,134,40282,first,7,
135,135,40477,other,,0.0
136,136,40867,first,1,
