,keystroke_idx,time,type,prev_keystrokes,keystrokes_since
237,237,63709,other,,0.0
238,238,64322,other,,1.0
239,239,64708,other,,2.0
240,240,64810,other,,3.0
241,241,64921,other,,4.0
242,242,65034,other,,5.0
243,243,65320,other,,6.0
244,244,65523,other,,7.0
245,245,65630,other,,8.0
246,246,65924,other,,9.0
247,247,66133,other,,10.0
248,248,66249,other,,11.0
249,249,66554,first,12,
250,250,66660,other,,0.0
251,251,66769,other,,1.0
252,252,66873,other,,2.0
253,253,67212,first,3,
254,254,67869,first,0,
255,255,67976,other,,0.0
256,256,68089,other,,1.0
257,257,68204,other,,2.0
258,258,68480,other,,3.0
259,259,68666,first,4,
260,260,68833,other,,0.0
261,261,69384,first,1,
262,262,69491,other,,0.0
263,263,70354,first,1,
264,264,70463,first,0,
265,265,70578,other,,0.0
266,266,70916,other,,1.0
267,267,71021,other,,2.0
268,268,71128,other,,3.0
269,269,71251,other,,4.0
270,270,71792,first,5,
271,271,71902,other,,0.0
272,272,72021,first,1,
273,273,72137,other,,0.0
274,274,72637,first,1,
275,275,72743,other,,0.0
276,276,72862,other,,1.0
277,277,73404,other,,2.0
278,278,73511,other,,3.0
279,279,73725,other,,4.0
280,280,74073,other,,5.0
281,281,74421,first,6,
282,282,74899,other,,0.0
283,283,75013,other,,1.0
284,284,75128,other,,2.0
285,285,75614,first,3,
286,286,75775,other,,0.0
287,287,75882,other,,1.0
288,288,76280,other,,2.0
