,keystroke_idx,time,type,prev_keystrokes
0,0,157,first,0
1,1,333,other,
2,2,700,other,
3,3,871,other,
4,4,1254,first,3
5,5,1444,first,0
6,6,1822,other,
7,7,1993,other,
8,8,2374,other,
9,9,2557,other,
10,10,2919,first,4
11,11,3097,other,
12,12,3454,first,1
13,13,3629,other,
14,14,3968,first,1
15,15,4140,other,
16,16,4486,first,1
17,17,4654,other,
18,18,4993,first,1
19,19,5159,other,
20,20,5487,first,1
21,21,5646,other,
22,22,5991,other,
23,23,6158,first,2
24,24,6495,first,0
25,25,6665,first,0
26,26,7008,other,
27,27,7173,other,
28,28,7507,other,
29,29,7675,other,
30,30,7999,other,
31,31,8156,other,
32,32,8481,other,
33,33,8633,other,
34,34,8939,first,8
35,35,9093,other,
36,36,9423,first,1
37,37,9575,other,
38,38,9944,first,1
39,39,10097,first,0
40,40,10421,other,
41,41,10580,other,
42,42,10899,other,
43,43,11056,other,
44,44,11359,other,
45,45,11505,other,
46,46,11774,other,
47,47,11926,other,
48,48,12177,first,8
49,49,12321,other,
50,50,12633,first,1
51,51,12810,other,
52,52,13150,first,1
53,53,13323,other,
54,54,13646,other,
55,55,13817,other,
56,56,14157,first,3
57,57,14325,first,0
58,58,14627,first,0
59,59,14793,other,
60,60,15109,other,
61,61,15269,other,
62,62,15562,first,3
63,63,15718,first,0
64,64,16018,first,0
65,65,16172,first,0
66,66,16468,other,
67,67,16621,other,
68,68,16876,other,
69,69,17036,other,
70,70,17341,first,4
71,71,17495,other,
72,72,17848,other,
73,73,18020,other,
74,74,18344,first,3
75,75,18511,first,0
76,76,18828,other,
77,77,18993,other,
78,78,19316,other,
79,79,19470,first,3
80,80,19620,other,
81,81,19927,other,
82,82,20071,other,
83,83,20373,other,
84,84,20522,other,
85,85,20818,other,
86,86,20966,other,
87,87,21279,other,
88,88,21426,other,
89,89,21725,other,
90,90,21871,first,10
91,91,22166,other,
92,92,22309,other,
93,93,22599,first,2
94,94,22749,other,
95,95,23052,first,1
96,96,23197,first,0
97,97,23481,other,
98,98,23628,other,
99,99,23912,other,
100,100,24057,other,
101,101,24340,first,4
102,102,24483,other,
103,103,24784,first,1
104,104,24929,first,0
105,105,25234,other,
106,106,25371,other,
107,107,25634,other,
108,108,25765,other,
109,109,26038,first,4
110,110,26178,other,
111,111,26444,other,
112,112,26578,other,
113,113,26837,other,
114,114,26974,first,4
115,115,27238,first,0
116,116,27371,other,
117,117,27615,other,
118,118,27752,other,
119,119,27993,other,
120,120,28126,other,
121,121,28363,first,5
122,122,28510,other,
123,123,28732,other,
124,124,28871,other,
125,125,29197,other,
126,126,29371,other,
127,127,29708,other,
128,128,29879,other,
129,129,30228,other,
130,130,30404,other,
131,131,30582,other,
132,132,30836,other,
133,133,31003,other,
134,134,31323,other,
135,135,31486,other,
136,136,31802,first,14
137,137,31956,first,0
138,138,32260,other,
139,139,32417,other,
140,140,32714,other,
141,141,32862,first,3
142,142,33155,first,0
143,143,33300,other,
144,144,33604,other,
145,145,33746,other,
146,146,34036,other,
147,147,34177,other,
148,148,34466,other,
149,149,34606,other,
150,150,34892,other,
151,151,35038,other,
152,152,35312,other,
153,153,35459,first,10
154,154,35746,other,
155,155,35915,first,1
156,156,36250,other,
157,157,36399,first,1
158,158,36691,first,0
159,159,36834,other,
160,160,37147,other,
161,161,37298,other,
162,162,37599,other,
163,163,37750,other,
164,164,38045,other,
165,165,38193,other,
166,166,38480,other,
167,167,38623,other,
168,168,38908,first,9
169,169,39051,other,
170,170,39326,first,1
171,171,39468,other,
172,172,39752,other,
173,173,39911,other,
174,174,40228,other,
175,175,40384,other,
176,176,40686,other,
177,177,40840,other,
178,178,41128,other,
179,179,41277,other,
180,180,41581,other,
181,181,41736,other,
182,182,42041,other,
183,183,42261,first,12
184,184,42593,other,
185,185,42765,other,
186,186,43066,first,2
187,187,43217,other,
188,188,43475,first,1
189,189,43635,other,
190,190,44000,other,
191,191,44157,other,
192,192,44484,other,
193,193,44648,first,4
194,194,44958,first,0
195,195,45121,other,
196,196,45392,first,1
197,197,45550,other,
198,198,45839,other,
199,199,45983,first,2
200,200,46201,other,
201,201,46353,first,1
202,202,46630,other,
203,203,46768,other,
204,204,47060,first,2
205,205,47195,other,
206,206,47508,first,1
207,207,47649,other,
208,208,47928,other,
209,209,48061,other,
210,210,48335,first,3
211,211,48481,first,0
212,212,48752,other,
213,213,48889,other,
214,214,49148,other,
215,215,49285,other,
216,216,49596,other,
217,217,49759,other,
218,218,50047,other,
219,219,50195,other,
220,220,50511,other,
221,221,50657,other,
222,222,50904,first,10
223,223,51047,other,
224,224,51286,first,1
225,225,51427,other,
226,226,51800,other,
227,227,51939,other,
228,228,52133,other,
229,229,52275,other,
230,230,52529,other,
231,231,52677,other,
232,232,52904,other,
233,233,53041,other,
234,234,53335,other,
235,235,53492,other,
236,236,53765,other,
237,237,53902,other,
238,238,54191,other,
239,239,54338,other,
240,240,54509,other,
241,241,54647,first,16
242,242,55009,other,
243,243,55169,first,1
244,244,55459,other,
245,245,55621,first,1
246,246,55914,other,
247,247,56072,other,
248,248,56320,first,2
249,249,56471,other,
250,250,56753,first,1
251,251,56893,other,
252,252,57173,first,1
253,253,57307,other,
254,254,57617,other,
255,255,57752,other,
256,256,58033,first,3
257,257,58168,first,0
258,258,58441,first,0
259,259,58575,other,
260,260,58817,first,1
261,261,58941,other,
262,262,59143,other,
263,263,59268,other,
264,264,59502,other,
265,265,59635,other,
266,266,59924,first,5
267,267,60057,other,
268,268,60334,other,
269,269,60465,other,
270,270,60726,first,3
271,271,60853,other,
272,272,61080,first,1
273,273,61207,other,
274,274,61415,other,
275,275,61549,other,
276,276,61833,other,
277,277,61961,first,4
278,278,62215,other,
279,279,62339,other,
280,280,62613,other,
281,281,62747,other,
282,282,63015,other,
283,283,63138,other,
284,284,63403,other,
285,285,63532,other,
286,286,63814,other,
287,287,63942,other,
288,288,64218,other,
289,289,64347,other,
290,290,64629,other,
291,291,64757,other,
