,keystroke_idx,time,type,prev_keystrokes
0,0,175,first,0
1,1,326,other,
2,2,479,other,
3,3,755,other,
4,4,927,other,
5,5,1089,first,4
6,6,1255,other,
7,7,1588,first,1
8,8,1730,other,
9,9,1887,other,
10,10,2029,other,
11,11,2349,other,
12,12,2500,other,
13,13,2650,first,5
14,14,2817,first,0
15,15,3137,other,
16,16,3292,first,1
17,17,3442,other,
18,18,3592,other,
19,19,4097,first,2
20,20,4251,first,0
21,21,4417,other,
22,22,4733,other,
23,23,4890,other,
24,24,5036,first,3
25,25,5186,other,
26,26,5561,first,1
27,27,5738,other,
28,28,5902,other,
29,29,6081,other,
30,30,6471,first,3
31,31,6614,other,
32,32,6761,first,1
33,33,6910,other,
34,34,7221,other,
35,35,7368,other,
36,36,7515,other,
37,37,7659,other,
38,38,7996,other,
39,39,8150,other,
40,40,8298,other,
41,41,8440,other,
42,42,8750,first,9
43,43,8893,other,
44,44,9032,other,
45,45,9172,other,
46,46,9512,first,3
47,47,9650,other,
48,48,9939,first,1
49,49,10317,first,0
50,50,10468,other,
51,51,10620,other,
52,52,10762,other,
53,53,11105,other,
54,54,11271,other,
55,55,11420,other,
56,56,11580,other,
57,57,11959,other,
58,58,12109,first,8
59,59,12253,other,
60,60,12400,other,
61,61,12738,first,2
62,62,12889,other,
63,63,13037,other,
64,64,13179,first,2
65,65,13467,other,
66,66,13607,other,
67,67,13744,other,
68,68,13897,first,3
69,69,14175,other,
70,70,14360,first,1
71,71,14491,first,0
72,72,14641,other,
73,73,14917,other,
74,74,15070,other,
75,75,15205,other,
76,76,15339,other,
77,77,15671,first,5
78,78,15808,other,
79,79,15954,first,1
80,80,16096,other,
81,81,16440,first,1
82,82,16576,other,
83,83,16724,other,
84,84,16863,other,
85,85,17165,first,3
86,86,17296,other,
87,87,17436,other,
88,88,17570,other,
89,89,17979,other,
90,90,18102,other,
91,91,18245,first,5
92,92,18402,other,
93,93,18692,first,1
94,94,18833,other,
95,95,19004,other,
96,96,19150,other,
97,97,19501,first,3
98,98,19644,other,
99,99,19777,other,
100,100,19913,other,
101,101,20236,other,
102,102,20376,other,
103,103,20510,other,
104,104,20649,other,
105,105,20944,other,
106,106,21098,other,
107,107,21227,other,
108,108,21371,other,
