,keystroke_idx,time,type,prev_keystrokes
0,0,167,first,0
1,1,459,other,
2,2,561,other,
3,3,671,other,
4,4,784,other,
5,5,1141,other,
6,6,1246,other,
7,7,1365,first,6
8,8,1481,other,
9,9,1777,first,1
10,10,2021,other,
11,11,2132,other,
12,12,2461,other,
13,13,2577,first,3
14,14,2690,other,
15,15,2812,other,
16,16,3186,first,2
17,17,3295,other,
18,18,3406,other,
19,19,3521,other,
20,20,3871,other,
21,21,3977,other,
22,22,4087,other,
23,23,4199,first,6
24,24,4513,first,0
25,25,4621,other,
26,26,4736,first,1
27,27,4852,other,
28,28,5153,other,
29,29,5383,other,
30,30,5494,other,
31,31,5826,first,4
32,32,5934,other,
33,33,6049,other,
34,34,6164,other,
35,35,6617,first,3
36,36,6724,other,
37,37,6836,first,1
38,38,7160,other,
39,39,7270,other,
40,40,7384,other,
41,41,7497,other,
42,42,7853,first,4
43,43,8080,first,0
44,44,8194,first,0
45,45,8528,other,
46,46,8633,other,
47,47,8746,other,
48,48,9197,other,
49,49,9307,other,
50,50,9423,other,
51,51,9535,other,
52,52,10016,other,
53,53,10122,other,
54,54,10238,other,
55,55,10534,first,10
56,56,10648,other,
57,57,10759,first,1
58,58,10873,other,
59,59,11157,other,
60,60,11272,first,2
61,61,11382,other,
62,62,11497,other,
63,63,11904,first,2
64,64,12016,other,
65,65,12122,other,
66,66,12444,other,
67,67,12547,other,
68,68,12667,other,
69,69,12778,other,
70,70,13095,other,
71,71,13204,other,
72,72,13317,other,
73,73,13432,other,
74,74,13774,first,10
75,75,13884,other,
76,76,13991,other,
77,77,14412,first,2
78,78,14522,other,
79,79,14757,first,1
80,80,15056,other,
81,81,15174,other,
82,82,15395,first,2
83,83,15665,other,
84,84,15779,first,1
85,85,15891,other,
86,86,16013,first,1
87,87,16541,other,
88,88,16651,other,
89,89,16954,first,2
90,90,17066,other,
91,91,17175,first,1
92,92,17285,other,
93,93,17692,first,1
94,94,18217,other,
95,95,18321,other,
96,96,18430,other,
97,97,18542,other,
98,98,18789,first,4
99,99,19012,other,
100,100,19123,other,
101,101,19419,other,
102,102,19530,other,
103,103,19638,other,
104,104,19755,first,5
105,105,20040,first,0
